Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
AITS,$4.00,22/04/2026,India,Edtech,Pre-Series A,https://entrackr.com/snippets/rysen-school-operator-aits-raises-4-mn-in-pre-series-a-round-11753666,Big Capital;Redbrook Fund
M,$11.00,22/04/2026,India,AI,Seed,https://entrackr.com/exclusive/exclusive-kabeer-biswass-new-startup-raising-rs-102-cr-from-peak-xv-blume-and-cred-11753427,Peak XV Partners;Blume Ventures;CRED
Lanstitut,$4.25,22/04/2026,India,Healthtech,,https://entrackr.com/news/emversity-acquires-nurse-mobility-platform-lanstitut-11753053,Emversity
Spill Games,$3.10,22/04/2026,Bengaluru,Gaming,Seed,https://entrackr.com/snippets/spill-games-raises-31-mn-in-seed-round-led-by-centre-court-capital-and-peercapital-11751548,Centre Court Capital;PeerCapital
Chupps Footwear,,22/04/2026,India,D2C,Pre-Series B,https://entrackr.com/snippets/ajinkya-rahane-joins-chupps-footwear-as-investor-and-advisor-11752878,Ajinkya Rahane
Deep Algorithm,$1.92,23/04/2026,India,Deeptech,Pre-Series A,https://entrackr.com/snippets/deep-algorithm-raises-rs-16-cr-in-pre-series-a-led-by-unicorn-india-ventures-11756893,Unicorn India Ventures;SB Investment
Sleepy Owl,$1.30,23/04/2026,India,D2C,Series C,https://entrackr.com/exclusive/exclusive-gauri-khan-family-trust-to-re-invests-in-sleepy-owl-11756620,Optiscape Network Holdings;Gauri Khan Family Trust;Pramod Bhasin
STCH,$5.50,23/04/2026,India,AI,Pre-Series A,https://entrackr.com/snippets/former-zetwerk-executives-startup-stch-raises-7-mn-led-by-omnivore-11756516,Omnivore;Kae Capital;WVC
LightFury Games,$11.00,23/04/2026,Bengaluru,Gaming,Pre-Series A,https://entrackr.com/news/lightfury-games-raises-11-mn-in-pre-series-a-round-11756334,Blume Ventures;V3 Ventures;MIXI;Times Internet
Oolka,$14.00,24/04/2026,Bengaluru,Fintech,Series A,https://entrackr.com/exclusive/exclusive-oolka-raises-rs-130-cr-in-series-a-led-by-accel-at-rs-730-cr-valuation-11760159,Accel;Lightspeed;Z47
Ethereal Machines,$28.50,25/04/2026,India,Deeptech,Series B,https://entrackr.com/exclusive/exclusive-ethereal-machines-raising-285-mn-at-4x-valuation-premium-11766371,Avataar Venture Partners;Peak XV Partners;Novellus Systems
Shopflo,$10.54,25/04/2026,India,Fintech,,https://entrackr.com/news/pine-labs-acquires-d2c-checkout-platform-shopflo-in-rs-88-cr-cash-deal-11764774,Pine Labs
Metasports Interactive,$20.00,27/04/2026,India,Gaming,Debt,https://entrackr.com/snippets/metasports-interactive-secures-20-mn-in-user-acquisition-funding-from-metica-11770204,Metica
Novio,$10.50,28/04/2026,India,Fintech,Series A,https://entrackr.com/snippets/fintech-startup-novio-raises-rs-100-cr-in-series-a-led-by-cornerstone-ventures-11775916,Cornerstone Ventures;Shepherd's Hill Private Equity;ESV-Arthya AIF;Roots Ventures;Innoven Capital
Mojro Technologies,$5.50,28/04/2026,India,SaaS,Series A,https://entrackr.com/snippets/mojro-technologies-raises-55-mn-led-by-dallas-venture-capital-11774441,Dallas Venture Capital;IAN Alpha Fund;1Crowd
Battery Smart,$15.00,28/04/2026,India,Electric Mobility,Debt,https://entrackr.com/snippets/battery-smart-secures-15-mn-in-debt-from-mirova-11774330,Mirova
House of Chikankari,$2.99,28/04/2026,Delhi,Fashion,Series A,https://entrackr.com/snippets/cap-alpha-ventures-leads-rs-25-cr-in-series-a-round-in-house-of-chikankari-11774125,Cap Alpha Ventures
HyugaLife,$10.50,28/04/2026,India,Healthtech,Series A,https://entrackr.com/news/hyugalife-raises-105-mn-in-series-a-round-led-by-ivycap-ventures-11773511,IvyCap Ventures;First Bridge Fund
Snabbit,$56.00,28/04/2026,Mumbai,Logistics,Series D,https://entrackr.com/news/snabbit-raises-56-mn-in-series-d-round-11773254,Susquehanna VC;Mirae Asset Venture Investments;Bertelsmann India Investments
Kovon,$0.25,28/04/2026,India,SaaS,Pre-Seed,https://entrackr.com/snippets/workforce-mobility-platform-kovon-raises-pre-seed-led-by-tdv-partners-11771315,TDV Partners
