Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Quizizz,$12.50,09/03/2021,Bengaluru,Edtech,Series A,https://inc42.com/buzz/quizizz-bags-12-5-mn-in-series-a-to-bolster-school-centric-product-expand-globally/,Eight Roads Ventures;GSV Ventures;Rocketship VC;Nexus Venture Partners
Turtlemint,$46.00,09/03/2021,Mumbai,Fintech,Series D,https://inc42.com/buzz/insurtech-startup-turtlemint-bags-46-mn-jungle-ventures/,GGV Capital;American Family Ventures;MassMutual Ventures;SIG in November 2020;Sequoia Capital India;Nexus Venture Partners;Dream Incubator;Trifecta Capital
Ecom Express,$20.00,09/03/2021,Delhi,Logistics,,https://inc42.com/buzz/ecom-express-bags-20-mn-in-follow-on-investment-from-uks-cdc-group/,
Mn,$157.00,06/03/2021,India,E-commerce,Acquisition,https://inc42.com/buzz/funding-galore-from-policybazaar-to-cashify-157-mn-raised-by-indian-startups-march-1-6/,
OfBusiness,$23.95,05/03/2021,Gurugram,General,Series D,https://entrackr.com/2021/03/exclusive-ofbusiness-raises-rs-200-cr-at-rs-3200-cr-valuation/,
Webscale,$26.00,05/03/2021,India,E-commerce,Series C,https://yourstory.com/2021/03/funding-alert-webscale-series-c-round,BGV;STCAP Ventures;Mohr Davidow Ventures;Grotech Ventures
KoineArth,$1.80,05/03/2021,Bengaluru,Web3 & Crypto,Pre-Series A,https://yourstory.com/2021/03/funding-alert-koinearth-raises-18-million-pre-series-yournest,YourNest;Inventus India
Northern Arc,$10.00,10/03/2021,Chennai,General,Debt,https://yourstory.com/2021/03/funding-alert-northern-arc-ecb-financing-calvert-impact-capital,
Captain Fresh,$3.00,10/03/2021,Bengaluru,Healthtech,Seed,https://yourstory.com/2021/03/funding-alert-capital-fresh-matrix-partners-india-ankur-capital-ecommerce,Matrix Partners India;Ankur Capital;RTP Global;Incubate Fund
Care,$2.00,10/03/2021,Bengaluru,General,Pre-Series A,https://yourstory.com/2021/03/funding-alert-oncology-tech-startup-4basecare-rais,Mount Judi Ventures
Riskcovry,$5.00,09/03/2021,Pune,Fintech,Pre-Series A,https://yourstory.com/2021/03/funding-alert-insurtech-startup-riskcovry-omidyar-network-india,Omidyar Network India;Bharat Inclusion Seed Fund
Stylework,$0.48,08/03/2021,Gurugram,General,Pre-Series A,https://yourstory.com/2021/03/funding-alert-coworking-startup-stylework-rs-4-cr-inflection-point-ventures,Inflection Point Ventures;Inflection Point Ventures (IPV);Rachit Poddar of Marwari Catalysts Ventures;Gridlines CEO Sunaina Gera also participated in the round
NODWIN Gaming,$22.40,09/03/2021,Gurugram,Media & Entertainment,,https://inc42.com/buzz/esports-firm-nodwin-gaming-bags-22-mn-from-pubg-maker-krafton/,Krafton
Vebbler,,10/03/2021,India,Media & Entertainment,Acquisition,https://inc42.com/buzz/dailyhunt-acquires-visual-content-app-vebbler-to-bring-creator-tools-to-josh/,
Icertis,$80.00,11/03/2021,Pune,Enterprise Tech,Series F,https://inc42.com/buzz/icertis-valued-at-2-8bn-after-80-mn-series-f-fundraise/,B Capital Group;Greycroft;Meritech Capital Partners;Premji Invest;PSP Growth;e.ventures
OYO,$200.00,11/03/2021,Gurugram,Travel Tech,Debt,https://inc42.com/buzz/oyos-singapore-arm-secures-200mn-softbank-term-loan/,SoftBank Vision Fund;SB Investment Holdings (UK)
OYO,$6.47,06/03/2021,Gurugram,Travel Tech,Series F,https://inc42.com/buzz/oyo-valuation-crosses-9-bn-after-hindustan-media-ventures-investment/,Hindustan Media Ventures
Ecom Express,$20.00,10/03/2021,Delhi,Logistics,,https://entrackr.com/2021/03/after-cdc-partners-group-pumps-20-mn-in-ecom-express/,Partners Group
Agnikul,$11.00,08/03/2021,Chennai,Spacetech,Series A,https://entrackr.com/2021/03/exclusive-spacetech-startup-agnikul-in-talks-to-raise-upto-12-mn-at-a-valuation-of-35-mn/,Mayfield India;pi Ventures;Speciale Invest;Artha Ventures
Shoopy,$0.25,06/03/2021,Delhi NCR,Retail Tech,Seed,https://yourstory.com/2021/03/retail-tech-startup-shoopy-raises-funds,Campanile Investments LLC;Redcliffe Capital
Cashify,$15.00,07/03/2021,India,Recommerce,,https://yourstory.com/2021/03/weekly-funding-roundup-venture-investments-tepid-beginning-march,Asia Environmental Partners;Olympus Capital
Zeni,$13.50,09/03/2021,India,Fintech,Series A,https://yourstory.com/2021/03/fintech-startup-zeni-ai-launches-product-raises-series-a-fund,Saama Capital;Amit Singhal;Sierra Ventures;SVB Financial Group;Liquid 2 Ventures;Firebolt Ventures;Dragon Capital;Twin Ventures
Vidal Health,,10/03/2021,Bengaluru,Healthtech,Acquisition,https://yourstory.com/2021/03/bengaluru-based-vidal-health-acquires-vipul-medcorp,Vidal Health
VerSe Innovation,,10/03/2021,India,Media,Acquisition,https://yourstory.com/2021/03/verse-innovation-acquires-photo-video-sharing-app-vebbler,VerSe Innovation
OYO,$200.00,10/03/2021,Gurugram,Hospitality,Debt,https://yourstory.com/2021/03/funding-alert-oyo-strengthens-balance-sheet-softbank-loan,SoftBank;SB Investment Holdings
DealShare,$2.99,11/03/2021,Jaipur,Ecommerce,Debt,https://yourstory.com/2021/03/jobs-roundup-dealshare-hyperlocal-ecommerce-startup,InnoVen Capital
Northern Arc Capital,$50.00,06/03/2021,Chennai,Fintech,Debt,https://yourstory.com/2021/03/jobs-roundup-northern-arc-digital-debt-platform-openings,US International Development Finance Corporation
Max Healthcare,$143.71,10/03/2021,India,Healthcare,,https://yourstory.com/2021/03/hospital-chain-operator-max-healthcare-raises-rs-1,Global institutional investors;Domestic mutual funds
ImaginXP,$1.50,09/03/2021,Pune,Edtech,,https://yourstory.com/2021/03/vcats-backed-imaginxp-acquires-edtech-startup-noesis-learning,Venture Catalysts
Kinara Capital,$6.23,09/03/2021,India,Fintech,Debt,https://yourstory.com/2021/03/funding-kinara-capital-raises-52-crore-impact-investment-exchange,Impact Investment Exchange
Ezstays,$0.40,08/03/2021,Delhi,Student Housing,Seed,https://yourstory.com/2021/03/funding-student-housing-startup-ezstays-seed-round-private-investors,Richard Rekhy;Private investors
