Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Vriti Infocom,$2.5,04/06/2008,Noida,Online Education,Unknown,http://www.vccircle.com:80/2008/06/04/intel-capital-invests-25-million-in-online-education-company-vriti-infocom/,Intel Capital
Parag Milk Foods,$13.95,04/06/2008,Pune,Dairy,Unknown,http://www.vccircle.com:80/2008/06/04/motilal-oswal-venture-capital-invests-rs-60-crore-in-parag-milk/,Motilal Oswal Venture Capital Advisors
AU Financiers India,,05/06/2008,Rajasthan,NBFC,Undisclosed,http://www.vccircle.com:80/2008/06/05/motilal-oswal-vc-invests-in-rajasthan-based-au-financiers/,Motilal Oswal Venture Capital Advisors
PVR Pictures,$27.91,05/06/2008,Delhi,Film Production,Unknown,http://www.vccircle.com:80/2008/06/05/pvr-pictures-gets-rs-120-crore-from-icici-venture-jpmorgan/,ICICI Venture;JPMorgan Special Opportunities Group
