Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Little1,,19/06/2013,India,Parenting,Seed,http://yourstory.com:80/2013/06/online-parenting-and-baby-book-portal-little1-raises-second-seed-round-from-delhi-based-radix-group/,Radix Group;Ravi Mallik
redBus,,21/06/2013,Bangalore,Travel,Acquisition,http://yourstory.com:80/2013/06/redbuss-best-is-yet-to-come-phanindra-sama-on-acquisition-and-future-plans/,Naspers;ibibo Group
