Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Mn,$667.00,16/10/2021,Delhi,E-commerce,Series E,https://inc42.com/infocus/funding-galore/funding-galore-over-667-mn-raised-by-indian-startups-this-week/,
PharmEasy,$350.00,18/10/2021,India,Healthtech,Pre-IPO,https://inc42.com/buzz/pharmeasy-raises-350-mn-in-pre-ipo-round-at-5-6-bn-valuation-founders-receive-new-esops/,
CRED,$251.00,19/10/2021,India,Fintech,Series D,https://inc42.com/buzz/cred-raises-251-mn-at-4-bn-valuation-marshall-wace-steadfast-join-captable/,Tiger Global;Falcon Edge;DST Global;Insight Partners;Coatue;Sofina;RTP;Dragoneer have increased their investments in CRED
ConveGenius,$5.00,19/10/2021,India,Edtech,,https://inc42.com/buzz/convegenius-raises-5-mn-plans-to-expand-conversational-ai-platform/,BAce Capital;Heritas Capital;3Lines Venture Capital;3Lines Venture Capital for expanding its product portfolio;Michael;Susan Dell Foundation
Green Soul,$42.50,19/10/2021,Gurugram,E-commerce,Series A,https://inc42.com/buzz/green-soul-secures-funds-from-thrasio-styled-upscalio/,
MarketWolf,$5.50,20/10/2021,India,Fintech,,https://inc42.com/buzz/marketwolf-raises-5-5-mn-to-build-new-products-expand-user-base/,Anil Thadani (Chairman at Symphony Asia);Ashutosh Sinha (former CEO of Morgan Stanley Investment Management Singapore);Tomas Urbanec (former CEO of Prudential Assurance Singapore);Roy van Leeuwen (Managing Director Benelux;Auto1)
IDfy,$10.30,21/10/2021,Mumbai,General,Series D,https://inc42.com/buzz/exclusive-idfy-to-raise-inr-86-cr-from-transunion-blume-ventures/,Blume Ventures;TransUnion
Questt,$6.75,21/10/2021,Gurugram,Edtech,Series A,https://inc42.com/buzz/questt-raises-6-75-mn-from-celesta-capital-premji-invest/,Celesta Capital;Premji Invest;AET Fund;MarsShot Ventures;Titan Capital;First Cheque continue to remain invested
Sourcewiz,$3.00,21/10/2021,India,SaaS,Seed,https://inc42.com/buzz/sourcewiz-raises-funds-to-help-exporters-digitise-operations/,Blume Ventures;Alpha Wave Incubation
Yu,$1.00,20/10/2021,Delhi,General,Pre-Series A,https://entrackr.com/2021/10/consumer-foods-brand-yu-raises-pre-series-a-round/,Manish Choksi;Varun Vakil
Revfin,$4.00,20/10/2021,New Delhi,Fintech,Pre-Series A,https://entrackr.com/2021/10/lending-platform-revfin-raises-4-mn-in-pre-series-a/,Redcliffe Life Solutions founder Dheeraj Jain
CredAble,$30.00,20/10/2021,Mumbai,General,Series A,https://entrackr.com/2021/10/credable-bags-30-mn-in-series-b-round/,Plutus Wealth Management LLP;Alpha Capital
Labs,$17.00,19/10/2021,Noida,SaaS,Series A,https://entrackr.com/2021/10/cloud-based-platform-saas-labs-raises-17-mn-in-series-a-round/,Base 10 Partners;Eight Roads Ventures
