Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
ShopClues,$10,01/03/2013,India,E-commerce,Series A,http://yourstory.com:80/2013/03/shopclues-raises-third-round-of-funding-from-nexus-venture-partners-and-helion-advisors/,
SkoolShop.com,$1.5,01/03/2013,Mumbai,General,Unknown,http://yourstory.com:80/2013/03/skoolshop-com-secures-investment-from-blume-ventures-and-other-angels/,
Alma Connect,$0.25,04/03/2013,Gurgaon,Software,Seed,http://yourstory.com:80/2013/03/alma-connect-announces-angel-funding-of-250000/,CIIE - IIM Ahmedabad;Ixora Ventures;CountShop.com;Dharmendra Yashovardhan
