Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Easebuzz,$4.00,01/04/2021,Pune,Fintech,Seed,https://inc42.com/buzz/fintech-startup-easebuzz-raises-4-mn-to-expand-payments-api-play/,8i ventures;Varanium Capital;Guild Capital
Chingari,$13.00,01/04/2021,India,Gaming,Seed,https://inc42.com/buzz/chingari-bags-13-mn-from-onmobile-to-add-gaming-to-short-videos-platform/,Bollywood actor Salman Khan
Koo,$100.00,02/04/2021,India,General,Series A,https://inc42.com/buzz/koo-bags-investment-from-silicon-valley-investors/,Tiger Global at a valuation of $100 Mn;3one4 Capital;Accel Partners;Kalaari Capital;Blume Ventures;Dream Incubator
Mn,$653.00,03/04/2021,India,Gaming,Series F,https://inc42.com/infocus/funding-galore/funding-galore-from-byjus-to-uniphore-653-mn-raised-by-indian-startups-march-29-april-3/,
Lendingkart,$15.00,06/04/2021,Ahmedabad,Fintech,,https://inc42.com/buzz/lendingkart-raises-15-mn-from-dutch-bank-fmo/,
Oye Rickshaw,$2.87,06/04/2021,Gurugram,EV & Mobility,Venture Debt,https://inc42.com/buzz/oye-rickshaw-raises-inr-24-cr-from-alteria-capital-for-ev-infra-expansion/,
PharmEasy,$350.00,07/04/2021,India,Healthtech,Series E,https://inc42.com/buzz/pharmeasy-parent-api-holdings-bags-323-mn-funding-to-expand-epharmacy-network/,Prosus;TPG
CRED,$215.00,06/04/2021,India,General,Series C,https://entrackr.com/2021/04/cred-raises-215-mn-at-a-valuation-of-2-2-bn/,Falcon Edge Capital;Coatue Management;DST Global Partners;Insight Partners;DST Global;RTP Global;Tiger Global;Greenoaks Capital;Dragoneer Investment Group;Sofina;Hillhouse Capital;Morningside Ventures
Meesho,$300.00,05/04/2021,Bengaluru,SaaS,,https://entrackr.com/2021/04/meesho-raises-300-mn-round-led-by-softbank-at-a-valuation-of-2-1-bn/,SoftBank at a valuation of $2;SoftBank Vision Fund
Byju's,$713.00,03/04/2021,Bengaluru,Edtech,Series B,https://entrackr.com/2021/04/funding-in-indian-startups-this-week-29-mar-03-apr/,MC Global Edtech Investment Holdings LP;Palo Alto-based Sorenson Capital Partners;OnMobile;Uncorrelated Ventures;Altara Ventures
Waycool,$20.00,01/04/2021,Chennai,Agritech,Series C,https://entrackr.com/2021/04/exclusive-waycool-raises-20-mn-from-existing-backers-valuation-nears-200-mn/,Lightbox
Pitstop,$3.50,06/04/2021,Bengaluru,General,Series B,https://yourstory.com/2021/04/funding-car-service-provider-startup-pitstop-pre-series-b-ventureast,Ventureast;TPG-backed Group Landmark
PlayShifu,$17.00,06/04/2021,India,General,Series B,https://yourstory.com/2021/04/funding-playshifu-raises-seriesb-round,Inventus Capital India
Redis Labs,$110.00,07/04/2021,India,General,Acquisition,https://yourstory.com/2021/04/redis-labs-funding-startup-california-tiger-global,Tiger Global;SoftBank Vision Fund 2;TCV
Fantasy Akhada,$0.60,07/04/2021,Gurugram,General,Acquisition,https://yourstory.com/2021/04/funding-fantasy-sports-platform-fantasy-akhada-ipl-2021-match,
OfBusiness,$110.00,07/04/2021,India,General,,https://yourstory.com/2021/04/funding-alert-ofbusiness-raises-falcon-edge-capital,Falcon Edge Capital;Matrix Partners India;Creation Investments;Norwest Venture Partners
SuperBottoms,$2.00,07/04/2021,India,General,Series A,https://yourstory.com/2021/04/superbottoms-raises-2-million-in-series-a-funding-,
ShopSe,$5.50,07/04/2021,Mumbai,Fintech,Seed,https://yourstory.com/2021/04/funding-point-of-sale-lending-platform-shopse-chiratae-ventures-beenext,Chiratae Ventures;AET Fun;Pentathlon Ventures;Opus
WESS,$2.00,07/04/2021,India,General,Seed,https://yourstory.com/2021/04/seed-funding-waaree-group-energy-storage-arm-wess,
Swiggy,$300.00,06/04/2021,India,General,,https://yourstory.com/2021/04/meesho-unicorn-swiggy-funding-financial-services-prashant-gadde,SoftBank Vision Fund 2;Falcon Edge;Amansa Capital;Think Investments;Carmignac;Goldman Sachs
Swiggy,$800.00,05/04/2021,Bengaluru,Foodtech,,https://yourstory.com/2021/04/funding-alert-food-delivery-swiggy-valuation-foodtech-zomato,Falcon Edge;Amansa Capital;Think Investments;Carmignac;Goldman Sachs;Singapore's GIC
Legitquest,$0.60,05/04/2021,India,Deeptech & AI,Pre-Series A,https://yourstory.com/2021/04/funding-legitquest-raises-5-crore-info-edge-waterbridge,
Oye Rickshaw,$2.87,05/04/2021,Delhi,EV & Mobility,,https://yourstory.com/2021/04/funding-oye-rickshaw-raises-24-cr-alteria-capital-ev,
CareerLabs,$2.20,05/04/2021,Bengaluru,General,Pre-Series A,https://yourstory.com/2021/04/funding-alert-careerlabs-rocket-internet-vc-fund-gfc,Toshan Tamhane
StashFin,$40.00,04/04/2021,India,Fintech,Series B,https://yourstory.com/2021/04/neo-banking-startup-stashfin-raises-funding,Altara Ventures;Uncorrelated Ventures;Alto Partners
DusMinute,$1.10,01/04/2021,Bengaluru,General,Pre-Series A,https://yourstory.com/2021/04/omnichannel-platform-dusminute-pre-series-a-indian-angel-network,Indian Angel Network;Indian Angel Network (IAN)
Pharmarack,$13.29,05/04/2021,India,Health Tech,Acquisition,https://inc42.com/buzz/ivycap-gets-2x-returns-on-inr-21-cr-pharmarack-bet-after-acquisition/,ABCD Technologies;DigiHealth
Crejo.Fun,$0.36,05/04/2021,India,Edtech,Pre-Seed,https://inc42.com/buzz/matrix-021-capital-back-stealth-mode-edtech-startup-crejo-fun-in-3-mn-pre-seed-round/,Matrix Partners India;021 Capital
Aakash Educational Services,$1000.00,05/04/2021,India,Edtech,Acquisition,https://inc42.com/buzz/byjus-acquires-33-year-old-aakash-in-1-bn-deal/,BYJU'S
AntWak,,06/04/2021,Bengaluru,Edtech,Seed,https://inc42.com/buzz/skilling-platform-antwak-raises-seed-funding-from-matrix-partners-india/,Matrix Partners India;Better Capital;Kunal Shah
Groww,$83.00,07/04/2021,Bengaluru,Fintech,Series D,https://inc42.com/buzz/groww-joins-indias-growing-unicorn-club-with-tiger-global-led-83-mn-round/,Tiger Global;Sequoia India;Ribbit Capital;YC Continuity;Propel Venture Partners
Cameraah,,06/04/2021,India,Augmented Reality,Seed,https://yourstory.com/2021/04/augmented-reality-startup-cameraah-raises-funding-techstars,Techstars
Karnival,$0.25,07/04/2021,Bengaluru,SaaS,Seed,https://yourstory.com/2021/04/funding-alert-saas-startup-karnival-we-founder-circle,We Founder Circle;Krishna Kumar;Dravya Dholakia;Shashwat Kumar
Kudos,,07/04/2021,Pune,Fintech,Pre-Series A,https://yourstory.com/2021/04/pune-digital-lending-startup-kudos-pre-seriesa-zerodha-rupeek,Nithin Kamath;Nitin Gupta;Patanjali Somayaji;Sumit Maniyar;Nischal Shetty;Anish Achuthan;Ganesh Rao;Amit Choudhary;Vaibhav Domkundwar
Rage Coffee,,07/04/2021,New Delhi,D2C,Pre-Series A,https://yourstory.com/2021/04/funding-alert-new-delhi-startup-rage-coffee-raises-funding-refex-capital,Refex Capital;9 Unicorns Venture Capital Fund;Emarson Computers;CC One Venture Labs;Spotlight Capital;Evolvx Advisory;Darshan Deora;KRS Jamwal;GetVantage
Avanti Finance,$26.00,07/04/2021,Bengaluru,Fintech,Series A,https://yourstory.com/2021/04/funding-ratan-tata-nandan-nilekani-avanti-finance-debt-round-nomura,Oikocredit;Nomura;Bill and Melinda Gates Foundation;Pratul Shroff;NRJN Trust
Do Your Thng,$0.15,05/04/2021,Gurugram,Influencer Marketing,,https://yourstory.com/2021/04/funding-alert-do-your-thng-mumbai-angels,Mumbai Angels;Faad Network;Angel Bay
BYJU'S,$460.00,02/04/2021,Bengaluru,Edtech,Series F,https://yourstory.com/2021/04/weekly-funding-roundup-venture-investments-cross-500m-byjus-perpule,MC Global Edtech Investment
Onsurity,,02/04/2021,India,Healthtech,Undisclosed,https://yourstory.com/2021/04/funding-alert-healthcare-platform-onsurity-kunal-shah-gaurav-munjal,Kunal Shah;Jitendra Gupta;Amit Lakhotia;Revant Bhate;Dhyanesh Shah;Gaurav Munjal;Aakrit Vaish;Miten Sampat;Harsh Shah;Gourav Bhattacharya;Kunal Khattar;Sunil Thomas;Anand Jain;Suresh Kondamudi
Circus Social,$1.00,02/04/2021,Bengaluru,SaaS,Pre-Series A,https://yourstory.com/2021/04/funding-alert-social-media-analytics-startup-circus-social-inflection-point-ventures,Inflection Point Ventures;Saurabh Gupta;Ganesh Mohan;Samit Shetty;Royston Tay;Yang Bin Kwok;Srinivasan Venkita Padmanabhan
Ruptok Fintech,,01/04/2021,Delhi,Fintech,Acquisition,https://yourstory.com/2021/04/ruptok-fintech-acquires-golduno-vinrak-technologies,
