Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
A2Z Maintenance & Engineering Services,$18.29,12/09/2007,"Delhi, India",Engineering,Unknown,http://www.vccircle.com:80/2007/09/12/beacon-india-private-equity-invests-rs-75-crore-in-delhis-a2z-maintenance/,Beacon India Private Equity Fund
MobileNXT Tele-services,,14/09/2007,India,Retail,Undisclosed,http://www.vccircle.com:80/2007/09/14/mobile-retail-chain-mobilenxt-receives-investment-from-tv18-group/,Television Eighteen (TV18) group
Sula Vineyards,$10.98,14/09/2007,"Nashik, India",Consumer,Unknown,http://www.vccircle.com:80/2007/09/14/sula-vineyards-gets-rs-45-crore-from-indivision-and-a-private-investor/,Indivision India Partners;Hank Oberoi;Harpal Randhava
