Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
ANSR,$15.00,20/05/2021,India,General,Series A,https://inc42.com/buzz/ansr-bags-15-mn-in-series-b-funding-plans-expansion-in-uae-europe-and-canada/,Accel Partners
NextBillion.Ai,$6.25,21/05/2021,India,General,Series A,https://inc42.com/buzz/nextbillion-ai-bags-additional-6-25-mn-in-series-a-taking-total-round-to-13-5-mn/,
Mn,$591.00,22/05/2021,India,E-commerce,Series A,https://inc42.com/infocus/funding-galore/funding-galore-from-pine-labs-to-moglix-591-mn-raised-by-indian-startups-may-17-22/,
FarEye,$100.00,25/05/2021,New Delhi,SaaS,Series E,https://inc42.com/buzz/fareye-bags-100-mn-in-series-e-round-for-expansion-in-us-europe/,TCV;Dragoneer Investment Group;Dragoneer Investment Group to drive European;North American expansion
Koo,$30.00,26/05/2021,India,General,Series B,https://inc42.com/buzz/koo-raises-30-mn-from-tiger-global-amid-rival-twitters-standoff-with-indian-govt/,Accel Partners;Kalaari Capital;Blume Ventures;Dream Incubator
Pine Labs,$600.00,22/05/2021,Delhi,General,Series E,https://entrackr.com/2021/05/funding-in-indian-startups-this-week-17-may-22-may/,Falcon Edge Capital;Harvard Management Company
Glamplus,$0.24,24/05/2021,India,SaaS,Pre-Series A,https://yourstory.com/2021/05/funding-saas-startup-glamplus-raises-pre-seriesa-round,Inflection Point Ventures
Tekie,$1.50,24/05/2021,Bengaluru,Edtech,Seed,https://yourstory.com/2021/05/funding-edtech-startup-tekie-raises-seed-round,GSV;Multiply Ventures;Silicon Valley-based
Fireflies,$11.98,24/05/2021,Hyderabad,Deeptech & AI,Series A,https://yourstory.com/2021/05/funding-hyderabad-san-francisco-ai-startup-firefliesai-seriesa-khosla-ventures,Khosla Ventures;Canaan Partners
Zeta,$250.00,24/05/2021,India,Fintech,Series C,https://yourstory.com/2021/05/banking-startup-zeta-funding-softbank-vision-fund-unicorn,
Asirvad Microfinance,$15.00,25/05/2021,India,General,,https://yourstory.com/2021/05/funding-asirvad-microfinance-raises-15m-worldbusiness-capital,
Sentieo,$20.00,25/05/2021,New Delhi,Fintech,Series B,https://yourstory.com/2021/05/funding-alert-fintech-startup-sentieo-raises-20-million,Ten Coves Capital;Centana Growth Partners;Studio Management
