Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Stovekraft,$5.5,17/10/2007,Bangalore,Consumer,Unknown,http://www.vccircle.com:80/2007/10/17/sidbi-venture-capital-to-invest-5-6-million-in-home-appliances-maker-stovecraft/,SIDBI Venture Capital
TutorVista,$2.5,18/10/2007,Bangalore,Education,Unknown,http://www.vccircle.com:80/2007/10/18/manipal-group-invests-25-million-in-tutorvista/,Manipal Education and Medical Group
Intellecap,$8.4,20/10/2007,Mumbai,Financial Services,Unknown,http://www.vccircle.com:80/2007/10/20/social-investment-bank-intellecap-gets-84m-funding-from-legatum/,Legatum Global Development
Neilsoft,$7,21/10/2007,Pune,Engineering Services,Unknown,http://www.vccircle.com:80/2007/10/21/punes-neilsoft-gets-7-million-from-trident-capital/,Trident Capital
marketRx,$135,20/10/2007,Gurgaon,Analytics,Acquisition,http://www.vccircle.com:80/2007/10/20/cognizant-buys-sequoia-india-backed-analytics-firm-marketrx-for-135-million/,
