Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
AddressHealth,,19/06/2014,Bangalore,Healthcare,Seed,http://yourstory.com:80/2014/06/addresshealth-funding-unitus/,Unitus Seed Fund
BookMyShow,$24.59,18/06/2014,Mumbai,Entertainment,Unknown,http://yourstory.com:80/2014/06/bookmyshow-raises-150-cr-new-funding/,SAIF Partners;Accel Partners;Network18
Careers360,,17/06/2014,India,Education,Undisclosed,http://yourstory.com:80/2014/06/careers360-funding/,Ranjan Pai;Satya Narayanan;Mahesh Murthy
