Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Fetise,$5,01/12/2011,India,E-commerce,Series A,http://yourstory.com:80/2011/12/fetise-raises-5-million-series-a-funding-from-seedfund/,
Freshdesk,$1,01/12/2011,India,SaaS,Unknown,http://yourstory.com:80/2011/12/freshdesk-raises-1-million-from-accel-partners/,
Pepperfry.com,$5,01/12/2011,Mumbai,General,Series A,http://yourstory.com:80/2011/12/pepperfry-com-raises-us-5-million-series-a-funding-from-norwest-venture-partners/,
Prezi,$14,01/12/2011,India,General,Series A,http://yourstory.com:80/2011/12/prezi-raises-14-million-series-b-funding-led-by-accel-partners/,Accel Partners
ScaleArc,$5.3,01/12/2011,Mumbai,General,Unknown,https://yourstory.com/2011/12/scalearc-raises-5-3mn-funding-from-nexus-venture-partners-and-trinity-ventures/,Trinity Ventures;Nexus Venture Partners
Print Bindaas,$0.05,30/11/2011,Mumbai,E-commerce,Seed,http://yourstory.com:80/2011/11/print-bindaas-receives-seed-funding-from-morgan-stanley-indias-manoj-swain/,Manoj Kumar Swain
