Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Bn,$1400.00,25/12/2021,India,E-commerce,Series F,https://inc42.com/infocus/funding-galore/funding-galore-over-1-4-bn-raised-by-indian-startups-this-week-2/,Alpha Wave Capital at $3;Lone Pine Capital;Alkeon Capital;TCV at $7
Infra.Market,$53.00,27/12/2021,India,General,Series D,https://inc42.com/buzz/exclusive-infra-market-bags-53-mn-in-debt-from-over-100-investors/,Avendus Finance Limited;Mindhouse founders Pankaj Chaddah;Pooja Khanna;Anupama Dalmia;Gautam Dalmia;Goenka Realtors Private Limited;Yukti Securities;Connaught Plaza Restaurant Pvt Ltd;Kritagyata Trust
Zetwerk,$210.00,28/12/2021,India,Fintech,Series E,https://inc42.com/buzz/exclusive-b2b-unicorn-zetwerk-bags-210-mn-led-by-greenoaks-capital/,Greenoaks Capital;D1 Capital;Green Oaks Capital
SecureNow,$6.00,29/12/2021,Delhi,Fintech,,https://inc42.com/buzz/insurtech-startup-securenow-raises-6-mn-to-scale-up-its-operations/,
MobiKwik,$11.98,30/12/2021,India,Fintech,Pre-IPO,https://inc42.com/buzz/exclusive-mobikwik-bags-inr-100-cr-from-bennett-coleman/,
OneCard,$76.00,30/12/2021,Pune,Fintech,Series C,https://inc42.com/buzz/fintech-startup-onecard-raises-76-mn-from-qed-fund-sequoia-capital/,QED
EsportsXO,$1.10,27/12/2021,Bengaluru,Gaming,Seed,https://entrackr.com/2021/12/esportsxo-raises-1-1-mn-in-a-seed-round/,We Founder Circle;Mumbai Angels Network;SucSEED Indovation Fund;Eximius Ventures;FAAD Network;SOSV
MetaMap,$70.00,28/12/2021,Bengaluru,Fintech,Series B,https://yourstory.com/2021/12/funding-metamap-tribe-capital-titan-capital-craft-ventures-jerry-murdock-insight-partners,Tribe Capital;Craft Ventures;Alameda Research;Titan Capital;Jerry Murdock
Neobank Jupiter,$86.00,28/12/2021,Mumbai,Fintech,Series B,https://yourstory.com/2021/12/funding-alert-jupiter-tiger-global-sequoia-capital-qed-fund,New York-headquartered hedge fund;Brazil’s Nubank;Global Founders Capital;Sequoia Capital India;Matrix Partners
Ripplr,$12.00,24/12/2021,India,Logistics,Pre-Series B,https://inc42.com/buzz/distribution-and-logistics-startup-ripplr-raises-12-mn/,Sojitz Corporation;Stride Ventures;3one4 Capital;Zephyr Peacock India Growth Fund;Vivek Gupta;Abhay Hanjura
Shumee,,24/12/2021,Bengaluru,Ecommerce,Undisclosed,https://inc42.com/buzz/d2c-focused-fluid-ventures-invests-in-sustainable-toy-startup-shumee/,Fluid Ventures
Fast&Up,,24/12/2021,India,D2C,Undisclosed,https://inc42.com/buzz/actor-varun-dhawan-invests-in-nutraceutical-startup-fastup/,Varun Dhawan
