Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Hiver,$4.00,12/02/2021,Bengaluru,General,Debt,https://inc42.com/buzz/hiver-raises-4-mn-debt-funding-from-singapore-based-mars-growth-capital/,
PayLater,$2.16,12/02/2021,Mumbai,E-commerce,Pre-Series A,https://inc42.com/buzz/lending-tech-startup-epaylater-raises-inr-18-cr-from-pravega-ventures-others/,ICICI Bank in January 2019
KreditBee,$75.00,15/02/2021,India,General,Series C,https://inc42.com/buzz/kreditbee-raises-75-mn-led-by-premjiinvest-south-koreas-mirae-xiaomi-and-other-chinese-investors-exit/,PremjiInvest;South Korea's Mirae;South Korea’s Mirae;Azim Premji’s
Onelife,$0.60,15/02/2021,India,D2C,Seed,https://inc42.com/buzz/onelife-raises-funding-from-wipro-consumer-care-ventures/,
Zomentum,$13.00,17/02/2021,Bengaluru,General,Series A,https://inc42.com/buzz/sales-tech-startup-zomentum-raises-13-mn-in-series-a-funding-for-expansion/,Eight Roads Ventures
Shiprocket,$27.00,18/02/2021,New Delhi,Logistics,Series C,https://inc42.com/buzz/shiprocket-raises-27-mn-from-tribe-capital-march-capital-after-d2c-powered-logistics-boom-in-2020/,Tribe Capital
Leverage Edu,$6.50,18/02/2021,India,Edtech,Series A,https://inc42.com/buzz/leverage-edu-raises-6-5-mn-in-series-a-funding-from-tomorrow-capital/,Tomorrow Capital
Vogo,$11.50,18/02/2021,Bengaluru,EV & Mobility,Series C,https://inc42.com/buzz/vogo-raises-series-c-funding-electric-vehicles/,
Mn,$322.00,13/02/2021,Delhi,Fintech,Series D,https://inc42.com/infocus/funding-galore/funding-galore-from-bharatpe-to-dailyhunt-322-mn-raised-by-indian-startups-february-1-6/,Insight Partners;Steadview Capital;Beenext;Amplo;Sequoia Capital
Happily Unmarried,$2.40,17/02/2021,India,D2C,Seed,https://entrackr.com/2021/02/ustraas-parent-happily-unmarried-raises-rs-20-cr-in-series-h-round/,
BharatPe,$320.00,13/02/2021,India,Edtech,Series B,https://entrackr.com/2021/02/funding-in-indian-startups-this-week-08-feb-13-feb/,Coatue Management;Insight Partners;Steadview Capital;Beenext;Amplo;Sequoia Capital
Grofers,$2.75,12/02/2021,Gurugram,General,Series D,https://entrackr.com/2021/02/exclusive-e-grocer-grofers-raises-funds-from-euler-fund/,
Eupheus Learning,$4.10,15/02/2021,Delhi,Edtech,Series B,https://yourstory.com/2021/02/funding-b2b-edtech-startup-eupheus-learning-seriesb-kuwait-uec,Kuwait-based
Pencil,$1.00,15/02/2021,Mumbai,General,Pre-Series A,https://yourstory.com/2021/02/mumbai-content-startup-pencil-pre-seriesa-sosv-inflection-point-ventures,US-based venture capital fund;Inflection Point Ventures (IPV)
Kosmos,$13.17,16/02/2021,Mumbai,Web3 & Crypto,Series A,https://yourstory.com/2021/02/bengaluru-cybersecurity-startup-funding-1kosmos-110cr-seriesa,
WizKlub,$0.72,16/02/2021,Bengaluru,Edtech,Pre-Series A,https://yourstory.com/2021/02/funding-cognitive-skills-edtech-startup-wizklub-pre-seriesa-round,
Zomentum,$13.00,16/02/2021,Bengaluru,SaaS,Series A,https://yourstory.com/2021/02/funding-alert-zomentum-raises-13-million-series-a,Eight Roads Ventures
UptimeAI,$1.50,16/02/2021,Bengaluru,Deeptech & AI,Seed,https://yourstory.com/2021/02/ai-deeptech-startup-uptimeai-seed-round-yournest-venture-capital,YourNest Venture Capital
