Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Housing.co.in,,13/03/2013,Mumbai,Real Estate,Bridge,http://yourstory.com:80/2013/03/housing-co-in-closes-a-bridge-round-of-funding-over-dinner/,Haresh Chawla
ShopClues.com,$9.31,17/03/2013,Gurgaon,E-commerce,Unknown,http://yourstory.com:80/2013/03/india-deal-digest-17032013-infoedge-to-write-off-rs-29-3-cr-investment-in-99labels/,Helion Venture Partners;Nexus Venture Partners
RankJunction.com,,15/03/2013,Nagpur,EdTech,Seed,http://yourstory.com:80/2013/03/indian-angel-network-ian-invests-in-nagpur-based-startup-rankjunction-com/,Indian Angel Network;Gitpx
