Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
BankBazaar.com,$13.11,14/01/2014,Chennai,Fintech,Series B,http://yourstory.com:80/2014/01/bankbazaar-funding/,Sequoia Capital;Walden International
ChargeBee,$0.8,13/01/2014,Chennai,SaaS,Seed,http://yourstory.com:80/2014/01/chargebee-raises-800-k-accel-partners/,Accel Partners
Little Eye Labs,,08/01/2014,Bangalore,Mobile Developer Tools,Acquisition,http://yourstory.com:80/2014/01/facebook-acquisition-little-eye-labs/,Facebook
Linguanext,,14/01/2014,Pune,Software,Undisclosed,http://yourstory.com:80/2014/01/helion-invests-language-management-software-company-linguanext/,Helion Venture Partners
Unicom Techlabs,,13/01/2014,Delhi,Cloud Telephony,Acquisition,http://yourstory.com:80/2014/01/knowlarity-acquires-unicom-techlabs/,Knowlarity Communications
LocalBanya.com,,09/01/2014,Mumbai,E-commerce,Series A,http://yourstory.com:80/2014/01/localbanya-funding-karmvir-avant-group/,Karmvir Avant Group
