Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Consim Info (BharatMatrimony),$11.75,05/02/2008,Chennai,Internet,Unknown,http://www.vccircle.com:80/2008/02/05/bharatmatrimony-raises-1175-million-in-second-round-from-mayfield-existing-investors/,Mayfield Fund;Canaan Partners;Yahoo
Viedea Capital Advisors,,05/02/2008,Bangalore,Financial Services,Undisclosed,http://www.vccircle.com:80/2008/02/05/indian-angel-network-invests-in-boutique-i-bank-viedea-capital-advisors/,Indian Angel Network
Kijiji India,,05/02/2008,India,Internet,Undisclosed,http://www.vccircle.com:80/2008/02/05/matrix-partners-india-picks-up-stake-in-ebays-indian-classified-site-kijiji/,Matrix Partners India
Mistral Solutions,$6.5,06/02/2008,Bangalore,Hardware,Unknown,http://www.vccircle.com:80/2008/02/06/design-services-firm-mistral-gets-65-million-from-nexus-india-jafco-asia/,Nexus India Capital;JAFCO Asia
Ikya Human Capital Solutions,$8,06/02/2008,Bangalore,HR Services,Unknown,http://www.vccircle.com:80/2008/02/06/india-equity-partners-invests-8-million-in-ikya-human-capital/,India Equity Partners
Vallabhdas Kanji,$7.5,06/02/2008,Kochi,Food Processing,Unknown,http://www.vccircle.com:80/2008/02/06/vallabhdas-kanji-gets-75-million-in-second-round-from-argonaut-private-equity/,Argonaut Private Equity
