Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Paras Pharmaceuticals,$12,30/10/2006,Ahmedabad,OTC Pharma,Unknown,http://www.vccircle.com/2006/10/30/sequoia-capital-india-invests-12-million-in-paras-pharma/,Sequoia Capital India
Sulekha.com,$10,01/11/2006,India,Internet,Unknown,http://www.vccircle.com:80/2006/11/01/indian-community-portal-sulekhacom-gets-10-million-from-norwest-venture-partners/,Norwest Venture Partners
Laqshya Media,$10,03/11/2006,Mumbai,Out-of-Home Media,Unknown,http://www.vccircle.com:80/2006/11/03/uti-venture-puts-in-10-million-in-ooh-media-firm-laqshya/,UTI Venture Funds
Vallabhdas Kanji,$6,03/11/2006,Kochi,Food,Unknown,http://www.vccircle.com:80/2006/11/3/uti-venture-invests-6-million-in-spice-exporter-vallabhdas-kanji/,UTI Venture Funds
