Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Lawrencedale Agri Processing (LEAF),,26/04/2013,South India,Agritech,Undisclosed,http://yourstory.com:80/2013/04/aspada-investment-company-to-invest-in-the-social-impact-space-announces-first-investment/,Aspada Investment
Apalya Technologies,$10,25/04/2013,Hyderabad,Video Streaming,Unknown,http://yourstory.com:80/2013/04/cisco-invests-in-apalya-technologies-and-integrates-apalyas-video-delivery-platform-into-videoscape/,Cisco;IDG Ventures India;Indo US Venture Partners;Qualcomm
DataWeave,,25/04/2013,Bangalore,Big Data,Seed,http://yourstory.com:80/2013/04/dataweave-raises-investment/,Blume Ventures;TLabs (Times Internet);5ideas Startup Superfuel;Meta Studio Advisors;Rajan Anandan;Pankaj Jain;Bharathram Thothadri;Krishna Mehra;Abhishek Gupta
ShepHertz,,25/04/2013,Delhi,Mobile Backend,Seed,http://yourstory.com:80/2013/04/shephertz-raises-an-angel-round-from-mumbai-angels-and-kae-capital-the-entrepreneurs-story/,Mumbai Angels;Kae Capital
