Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Rymo Technologies,$1.20,19/03/2026,India,Healthtech,Seed,https://entrackr.com/snippets/neuro-rehabilitation-startup-rymo-technologies-secures-rs-10-cr-in-seed-round-11228049,IAN Group
Mave Health,$2.10,19/03/2026,India,Healthtech,Seed,https://entrackr.com/snippets/neurotechnology-startup-mave-health-secures-21-mn-led-by-blume-ventures-11227402,Blume Ventures; Inuka Capital; Stanford Angels; All In Capital; Aureolis Ventures
Pinq Polka,$0.48,19/03/2026,India,Fashion,Pre-Series A,https://entrackr.com/snippets/ipv-leads-pre-series-a-round-in-pinq-polka-11227264,Inflection Point Ventures
Jiraaf,$4.70,19/03/2026,India,Fintech,Series B,https://entrackr.com/exclusive/exclusive-wealthtech-startup-jiraaf-to-raise-fresh-money-from-accel-and-others-11227232,Aspire Financial; Accel; Hindustan Media Ventures; Anand Shah
Laani,$0.97,19/03/2026,India,Beauty,Pre-Seed,https://entrackr.com/snippets/personal-care-brand-laani-raises-rs-91-cr-in-pre-seed-round-11226896,V3 Ventures; Saama Capital; Kunal Bahl; Manish Taneja
Assiduus Global,$25.00,19/03/2026,Bengaluru,E-Commerce,Pre-Series B,https://entrackr.com/news/e-commerce-accelerator-assiduus-global-raises-25-mn-led-by-bajaj-finserv-11226649,Bajaj Finserv; Uncorrelated Ventures; Aaruha Technology Fund
Aamra Seniors Club,$0.15,20/03/2026,Gurugram,Healthtech,Pre-Seed,https://entrackr.com/snippets/aamra-seniors-club-raises-150k-in-pre-seed-round-11247180,Not Disclosed
Cult.fit,$47.00,21/03/2026,Bengaluru,Healthtech,Series G,https://entrackr.com/exclusive/exclusive-temasek-increases-stake-in-cultfit-to-12-after-rs-440-cr-investment-11251120,Temasek
Exponent Energy,$20.00,21/03/2026,India,Electric Mobility,Series B,https://entrackr.com/exclusive/exclusive-exponent-energy-raising-20-mn-in-an-extended-series-b-11250585,360 One; TDK Ventures; YourNest; Eight Roads Ventures; Lightspeed India
WeRize,$6.90,21/03/2026,India,Fintech,Debt,https://entrackr.com/news/exclusive-werize-to-raise-rs-64-cr-in-debt-from-existing-investors-11250093,Sony Innovation Fund; 3one4 Capital
Raanro,$0.49,23/03/2026,India,D2C,Pre-Seed,https://entrackr.com/snippets/magical-nest-operator-raanro-raises-pre-seed-round-11256761,Stargazer Fund; Kunal Shah; Ankit Nagori; Prashant Tandon; Gaurav Agarwal
LetzRyd,$4.00,23/03/2026,Bengaluru,Mobility,Series A,https://entrackr.com/snippets/jif-capital-leads-4-mn-series-a-round-in-letzryd-11256224,JIF Capital; 15th Rock; UNLEASH Capital Partners
Workroom Automation,$0.74,23/03/2026,Hyderabad,Manufacturing,Seed,https://entrackr.com/snippets/workroom-automation-raises-seed-funding-led-by-equirus-innovatex-fund-11254713,Equirus InnovateX Fund; Astir Ventures; Venture Catalysts Group
Finfinity,$2.40,23/03/2026,India,Fintech,Seed,https://entrackr.com/snippets/digital-lending-marketplace-finfinity-raises-24-mn-in-seed-round-11254722,Mankind Pharma Promoter's Family Office; Vi-John Group; Malani Ventures
BIDSO,$6.70,23/03/2026,Bengaluru,Manufacturing,Series A,https://entrackr.com/news/toy-manufacturing-startup-bidso-secures-rs-63-cr-in-series-a-led-by-blume-ventures-11254502,Blume Ventures; Peer Capital; Sadev Capital; Alteria Capital
Euler Motors,$47.00,24/03/2026,Delhi,Electric Mobility,Series E,https://entrackr.com/news/euler-motors-raises-47-mn-in-series-e-round-led-by-lightrock-11259258,Lightrock;Hero MotoCorp;Blume Ventures;BlackSoil;Trifecta
