Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
OYO,$660.00,16/07/2021,Gurugram,General,,https://inc42.com/buzz/oyo-raises-600-mn-term-loan-from-institutional-investors/,
Inshorts,$60.00,15/07/2021,Delhi,General,Series A,https://inc42.com/buzz/inshorts-bags-60-mn-amid-growth-surge-for-public-app/,Vy Capital;Tiger Global;Tanglin Venture Partners;SIG;A91 Partners
Square Yards,$25.00,16/07/2021,Gurugram,Proptech,Series B,https://inc42.com/buzz/proptech-startup-square-yards-raises-25-mn-from-adm-capital/,
Eka.Care,$4.50,19/07/2021,India,Healthtech,Seed,https://inc42.com/buzz/eka-care-raises-4-5-mn-from-angels-including-kunal-shah-and-others/,Eximius Ventures;Speciale Invest
Swiggy,$1250.00,20/07/2021,Bengaluru,Foodtech,,https://inc42.com/buzz/swiggy-closes-1-25-bn-series-j-funding-round-at-5-5-bn-valuation/,SoftBank Vision Fund 2;Prosus
Vegrow,$13.00,20/07/2021,India,Agritech,Series A,https://inc42.com/buzz/vegrow-raises-13mn-led-by-elevation-capital-and-lightspeed-venture/,Elevation Capital And Lightspeed Venture;Lightspeed Venture Partners;Elevation Capital;Matrix Partners India;Ankur Capital;Better Capital;Titan Capital
HealthifyMe,$75.00,20/07/2021,Bengaluru,Healthtech,Series C,https://inc42.com/buzz/healthifyme-bags-75-mn-in-series-c-round-led-by-leapfrog-khosla-ventures/,LeapFrog;Khosla Ventures
Julia Computing,$24.00,21/07/2021,India,General,Series A,https://inc42.com/buzz/julia-computing-raises-24-mn-series-a-led-by-dorilton-ventures/,Dorilton Ventures;Menlo Ventures;General Catalyst;HighSage Ventures
SmartCoin,$9.58,20/07/2021,Bengaluru,Fintech,Series A,https://inc42.com/buzz/fintech-startup-smartcoin-bags-inr-80-cr-in-debt-funding/,
Sea6 Energy,$9.00,21/07/2021,India,General,Series A,https://inc42.com/buzz/sea6-energy-raises-9-mn-led-by-aquaculture-fund-aqua-spark/,Aquaculture Fund Aqua-Spark;Netherlands-based aquaculture fund Aqua-Spark
Lenskart,$220.00,19/07/2021,Bengaluru,E-commerce,,https://inc42.com/buzz/lenskart-raises-220mn-to-strengthen-its-presence-in-middle-east/,Temasek;Falcon;Falcon Edge
Outplay,$7.30,21/07/2021,Bengaluru,General,Series A,https://entrackr.com/2021/07/outplay-bags-7-3-mn-in-series-a-round/,Ram;Laxman Papineni;Outplay helps sales teams to plan
Zouk,$1.50,21/07/2021,India,D2C,Pre-Series A,https://entrackr.com/2021/07/d2c-lifestyle-brand-zouk-raises-1-5-mn-in-pre-series-a-round/,Stellaris Venture Partners;Manish Chowdhary;Manish;Karan Chowdhary;Titan Capital;Mamaearth
GlobalBees,$150.00,19/07/2021,India,E-commerce,Series A,https://entrackr.com/2021/07/globalbees-raises-150-mn-in-series-a-led-by-firstcry/,FirstCry
Otipy,$10.20,19/07/2021,Gurugram,General,Series A,https://entrackr.com/2021/07/social-commerce-startup-otipy-raises-10-mn-series-a-led-by-sig/,SIG;Inflection Point Ventures;Pravega;FactorE
Oyo,$1010.00,17/07/2021,India,Logistics,Debt,https://entrackr.com/2021/07/funding-in-indian-startups-this-week-12-july-17-july/,Vy Capital
IPO-bound Delhivery,$100.00,16/07/2021,India,Logistics,,https://entrackr.com/2021/07/ipo-bound-delhivery-raises-100-mn-from-fedex-subsidiary/,Fidelity Investments in May
Safe Security,$33.00,21/07/2021,India,SaaS,,https://yourstory.com/2021/07/cybersecurity-startup-safe-security-funding-british-telecom-john-chambers,London-based British Telecom (BT)
Beco,$0.48,21/07/2021,Mumbai,D2C,Seed,https://yourstory.com/2021/07/d2c-startup-beco-raises-4cr-seed-round-climate-angels-fund-zivame,Climate Angels Fund
MYSUN,$1.80,20/07/2021,Noida,Cleantech,Debt,https://yourstory.com/2021/07/funding-rooftop-solar-startup-mysun-raises-rs-15-crore-debt-tata-cleantech-capital,
