Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Hurix Systems,$5.1,03/10/2007,Mumbai,Education,Unknown,http://www.vccircle.com:80/2007/10/03/helion-invests-51-million-in-mumbai-e-learning-company-hurix-systems/,Helion Venture Partners
Career Launcher,$8.25,05/10/2007,New Delhi,Education,Unknown,http://www.vccircle.com:80/2007/10/05/exclusive-career-launcher-raises-825-million-from-gaja-capital-partners/,Gaja Capital Partners
ICA Infotech,,05/10/2007,Kolkata,Education,Undisclosed,http://www.vccircle.com:80/2007/10/05/exclusive-saif-partners-invests-in-vocational-training-firm-ica-infotech/,SAIF Partners
