Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Aqgromalin,$4.60,23/09/2021,Chennai,Agritech,Seed,https://inc42.com/buzz/exclusive-aqgromalin-to-raise-inr-38-43-cr-from-sequoia-omnivore/,Zephyr Peacock India Growth Fund
Delhivery,$125.00,24/09/2021,Gurugram,Logistics,,https://inc42.com/buzz/exclusive-delhivery-raises-inr-558-cr-from-lee-fixels-addition/,
Medikabazaar,$75.00,24/09/2021,Mumbai,Healthtech,Series C,https://inc42.com/buzz/exclusive-medikabazaar-to-raise-inr-433-cr-in-fresh-round-of-funding/,CREAEGIS;UK-based development finance institution CDC group w;Belgium based Ackermans;HealthQuad Advisors Private Limited;Japan-based Rebright Partners;Continental Europe-based Kois Holdings;Sumitomo Mitsui Financial Group
Mn,$900.00,25/09/2021,Gurugram,E-commerce,Acquisition,https://inc42.com/infocus/funding-galore/funding-galore-indian-startup-funding-of-the-week/,DST Global;Falcon Edge;SoftBank Vision Fund
Udaan,$5.99,25/09/2021,Bengaluru,E-commerce,Series A,https://inc42.com/buzz/exclusive-udaan-bags-inr-50-cr-in-debt-round-from-blacksoil/,
Bijnis,$30.00,28/09/2021,New Delhi,Logistics,Series B,https://inc42.com/buzz/b2b-marketplace-bijnis-secures-30-mn-to-help-manufacturers-go-digital/,Westbridge Capital;InfoEdge;Matrix Partners India;Sequoia Capital India;Waterbridge Ventures
Superzop,$4.00,28/09/2021,Mumbai,Agritech,Series A,https://inc42.com/buzz/b2b-agritech-startup-superzop-raises-4-mn-from-european-fund-incofin/,
Astrome,$3.40,28/09/2021,Bengaluru,Deeptech & AI,,https://inc42.com/buzz/deeptech-startup-astrome-bags-3-4-mn-plans-us-expansion/,Indian Angel Network (IAN);Germany-based Urania Ventures;Lakshmi Narayanan
Zypp Electric,$7.00,28/09/2021,Gurugram,Logistics,Series A,https://inc42.com/buzz/zypp-raises-7-mn-plans-to-expand-fleet-to-100k-vehicles-in-12-months/,9Unicorns;Anthill Ventures;We Founder Circle;Silicon Valley based Riso Capital Fund;Dholakia Ventures
MFine,$48.00,29/09/2021,Bengaluru,Healthtech,Series C,https://inc42.com/buzz/healthtech-startup-mfine-raises-48-mn-in-series-c-round/,Moore Strategic;BEENEXT;Moore Strategic Ventures;Stellaris Venture Partners;SBI Group Japan;SBI Ven Capital Singapore;Heritas Capital;Prime Venture Partners
Acceldata,$35.00,29/09/2021,Bengaluru,Deeptech & AI,Series A,https://inc42.com/buzz/acceldata-raises-35-mn-in-series-b-for-rd-new-products/,Insight Partners;Lightspeed;Sorenson Ventures;Emergent Ventures;March Capital
Fantasy Akhada,$2.00,29/09/2021,Gurugram,General,Pre-Series A,https://entrackr.com/2021/09/fantasy-akhada-raises-2-mn-in-pre-series-a-round/,Prime Securities;Team India Managers Limited;Harsha Bhogle;Sunil Sood;Atul Kasbekar
Exotel,$35.00,29/09/2021,Bengaluru,Deeptech & AI,Series B,https://entrackr.com/2021/09/a91-backed-cloud-telephony-platform-exotel-raises-35-mn-in-series-c-funding/,Blume Ventures;A91 Partners
VRO Hospitality,$3.00,28/09/2021,Bengaluru,General,Series A,https://entrackr.com/2021/09/vro-hospitality-raises-3-mn-in-series-a-round/,CreedCap Asia Advisors
Glamyo Health,$3.00,28/09/2021,Mumbai,General,Series A,https://entrackr.com/2021/09/healthcare-startup-glamyo-health-bags-3-mn-in-series-a/,Ananta Capital
Capital Float,$50.00,28/09/2021,Bengaluru,Edtech,Series C,https://entrackr.com/2021/09/capital-float-raises-50-mn-to-scale-its-bnpl-platform/,Lightrock India in participation
Manch,$1.10,28/09/2021,Bengaluru,SaaS,Pre-Series A,https://entrackr.com/2021/09/saas-startup-manch-raises-1-1-mn-in-pre-series-a-round/,Bharat Inclusion Seed Fund
Sanfe,$1.00,27/09/2021,New Delhi,D2C,Pre-Series A,https://entrackr.com/2021/09/female-hygiene-brand-sanfe-bags-1-mn-in-series-a-round/,
MEDdelivery,$1.00,27/09/2021,Jaipur,General,,https://entrackr.com/2021/09/pharma-tech-startup-meddelivery-raises-1-mn-in-fresh-round/,
Mn. Cars24,$597.00,25/09/2021,India,Logistics,Series C,https://entrackr.com/2021/09/funding-in-indian-startups-this-week-20-sep-25-sep/,CREAEGIS
CredRight,$2.70,23/09/2021,Hyderabad,Fintech,,https://entrackr.com/2021/09/fintech-startup-credright-raises-2-7-mn-in-fresh-round/,9Unicorns;Spearhead Capital;Venture Catalyst;Neeraj Bansal;CredRight is a data-driven lending platform that facilitates credit to small businesses;MSMEs via NBFCs;Banks
Chqbook,$4.79,23/09/2021,India,General,Series A,https://entrackr.com/2021/09/neobank-startup-chqbook-raises-rs-40-cr-in-pre-series-b-round/,Aavishkaar Capital;Rajiv Dadlani Group;Earlsfield Capital U;Jeremy Lim;Bhupesh Kumar;Nilesh Srivastava
CredAvenue,$90.00,29/09/2021,India,Fintech,Series A,https://yourstory.com/2021/09/chennai-fintech-startup-credavenue-funding-global-expansion-sequoia-capital,Sequoia Capital;TVS Capital Funds;Lightrock
Alpha Coach,$1.25,28/09/2021,India,General,,https://yourstory.com/2021/09/fitness-startup-alpha-coach-funding-jani-ventures-inc,
ConnectedH,$2.30,29/09/2021,Delhi,Healthtech,Seed,https://yourstory.com/2021/09/healthtech-startup-connectedh-raises-seed-round-kalaari-capital,Kalaari Capital;Anicut Capital;Gaurav Munjal;Roman Saini (Unacademy);Farid Ahsan (Sharechat);Asish Mohapatra;Ruchi Kalra (OfBusiness);Mars Shot Ventures;First Cheque;Point One Capital
CashBook,$2.30,28/09/2021,India,Fintech,Series A,https://yourstory.com/2021/09/fintech-startup-cashbook-seed-funding-round-better-tomorrow-ventures,JAM;Better Tomorrow Ventures;Ananta Capital
Manch Technologies,$1.10,28/09/2021,Bengaluru,SaaS,Pre-Series A,https://yourstory.com/2021/09/manch-technologies-startup-secures-11-m-pre-seriesa-round-funding,Bharat Inclusion Seed Fund;Pentathlon Ventures
Akudo,$4.20,27/09/2021,India,Edtech,Seed,https://yourstory.com/2021/09/fintech-edtech-startup-akudo-seed-round-y-combinator,Y Combinator;JAFCO Asia;Incubate Fund India;AET Fund;Tribe Capital;Cabra Capital
Sanctum Wealth,$9.34,27/09/2021,Mumbai,Fintech,Acquisition,https://yourstory.com/2021/09/funding-alert-mumbai-fintech-sanctum-wealth-raises-78-crore-singapore-xander-group,
PredictiVu,$1.50,27/09/2021,Gurugram,Deeptech & AI,Pre-Seed,https://yourstory.com/2021/09/funding-predictivu-market-xcel-nomura-infobridge-asia,Market Xcel Data Matrix;Nomura Research Institute
PayLater,$10.00,23/09/2021,India,Fintech,Series B,https://yourstory.com/2021/09/funding-epaylater-responsibility-ag-blue-ashva-capital-pravega-ventures,
