Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Phable,$2.00,09/09/2021,Bengaluru,General,Series A,https://inc42.com/buzz/phable-raises-funds-from-omron-ventures-in-talks-for-series-b-round/,
Impact Guru,$4.19,09/09/2021,Mumbai,Fintech,Series A,https://inc42.com/buzz/exclusive-crowdfunding-startup-impact-guru-to-raise-inr-35-cr-from-sony-healthquad/,
Lido Learning,$10.00,10/09/2021,India,Edtech,Series C,https://inc42.com/buzz/lido-learning-bags-10-mn-to-aggressively-invest-in-global-expansion/,
Headout,$12.00,10/09/2021,Bengaluru,General,Series B,https://inc42.com/buzz/headout-raises-12-mn-series-b-looks-to-acquihire-travel-entertainment-startups/,Glade Brook;Nexus Venture Partners;FJ Labs;500 Startups;Haystack;Ludlow Ventures;Espresso Capital;Practical VC;Glade Brook Capital;Version One Ventures;Practical VC have come on board as new investors
Amagi,$100.00,11/09/2021,Bengaluru,SaaS,Series A,https://inc42.com/buzz/saas-startup-amagi-bags-100-mn-emerald-media-mayfield-india-exit/,KKR);Mayfield Fund
Mn,$447.00,11/09/2021,Bengaluru,SaaS,Acquisition,https://inc42.com/infocus/funding-galore/funding-galore-over-447-mn-raised-by-indian-startups-this-week/,
Freight Tiger,$6.50,10/09/2021,India,Logistics,,https://inc42.com/buzz/freight-tiger-bags-6-5-mn-from-florintree-infra-lightspeed-india/,Florintree Infra LLP;435 Series B3 compulsorily convertible;Lightspeed India Ventures;Moonstone Investments;Pawan Munjal Family Trust;Ritesh Agarwal’s Aroa Ventures
Awon GameZ,$2.00,13/09/2021,India,Gaming,,https://inc42.com/buzz/gaming-startup-awon-gamez-raises-funds-to-launch-online-marketplace/,
Onesto Labs,$2.50,14/09/2021,Mumbai,Fintech,Seed,https://inc42.com/buzz/d2c-startup-onesto-labs-raises-funds-from-72-ventures-others/,72 Ventures
MODIFI,$24.00,14/09/2021,India,Fintech,Series B,https://inc42.com/buzz/fintech-startup-modifi-raises-24-mn-in-series-b-to-empower-indian-smes/,
Eupheus Learning,$10.00,14/09/2021,Delhi,Edtech,Series B,https://inc42.com/buzz/delhi-based-edtech-startup-eupheus-learning-raises-10-mn-plans-global-expansion/,United Education Company (UEC);AI Rayan Holding Company (ARHC)
Prodigy Finance,$750.00,15/09/2021,India,Fintech,,https://inc42.com/buzz/prodigy-finance-bags-750-mn-to-help-indian-students-study-abroad/,
Hexahealth,$3.95,14/09/2021,Gurugram,General,Seed,https://entrackr.com/2021/09/healthcare-startup-hexahealth-raises-rs-33-cr-in-seed-round/,Chiratae Ventures
BetterPlace,$24.00,13/09/2021,Bengaluru,General,Series B,https://entrackr.com/2021/09/betterplace-raises-24-mn-in-series-c-led-by-jungle-ventures-and-cx-partners/,Jungle Ventures;CX Partners;Delhi-based CX Partners;Singapore-based Jungle Ventures;Jungle Ventures in October last year
Mn. Cars24,$770.00,11/09/2021,Bengaluru,Fintech,Series C,https://entrackr.com/2021/09/funding-in-indian-startups-this-week-06-sep-11-sep/,
Cars24,$259.00,09/09/2021,Gurugram,General,,https://entrackr.com/2021/09/exclusive-cars24-raises-259-mn-at-around-1-75-bn-valuation/,
Headout,$12.00,09/09/2021,India,General,Series B,https://entrackr.com/2021/09/online-experiences-marketplace-headout-raises-12-mn-in-series-b-round/,Glade Brook Capital;Version One Ventures;Nexus Venture Partners;FJ Labs;500 Startups;Haystack;Ludlow Ventures;Practical VC
HomeLane,$50.00,09/09/2021,India,General,Series E,https://entrackr.com/2021/09/homelane-raises-50-mn-in-series-e-funding/,IIFL AMC’s Late Stage Tech Fund;Oman India Joint Investment Fund;Stride Ventures;Pidilite;Evolvence;NuVentures;Sequoia;Accel
Anveshan,$0.44,09/09/2021,Bengaluru,D2C,Seed,https://entrackr.com/2021/09/d2c-food-brand-anveshan-raises-rs-3-67-cr-in-seed-round/,DSG Consumer Partners;Titan Capital;Anjali Bansal
Coutloot,$8.00,09/09/2021,India,General,,https://entrackr.com/2021/09/coutloot-raises-8-mn-from-ameba-capital-9unicorns-and-others/,Jasmeet Thind;Coutloot is trying to replicate Taobao's success in India by providing sellers
Godamwale,$1.00,15/09/2021,Mumbai,E-commerce,Seed,https://yourstory.com/2021/09/funding-mumbai-warehouse-discovery-leasing-platform-godamwale-seed-round,
Ayu Health,$6.30,15/09/2021,Bengaluru,Healthtech,Series A,https://yourstory.com/2021/09/funding-alert-healthtech-startup-ayu-health-stellaris-vp,
Awon GameZ,$2.00,15/09/2021,India,Gaming,Seed,https://yourstory.com/2021/09/funding-alert-gaming-startup-awon-gamez-raises-2-million-seed-round,
Vahan,$8.00,15/09/2021,Bengaluru,Deeptech & AI,Series A,https://yourstory.com/2021/09/funding-bengaluru-jobs-platform-gig-blue-collar-workers-vahan-khosla-ventures,Khosla Ventures;Silicon Valley investor;Airtel;SHAKTI VC;Pioneer Fund;Spike Ventures;Vijay Shekhar Sharma
Anar,$6.20,15/09/2021,India,General,Seed,https://yourstory.com/2021/09/funding-anar-elevation-captial-accel-india-b2b-networking-startup,Elevation Capital;Accel India;First Cheque;Utsav Somani (iSeed;Partner;AngelList India)
Tinkerly,$0.78,15/09/2021,Jaipur,Edtech,Pre-Series A,https://yourstory.com/2021/09/funding-edtech-startup-tinkerly-navneet-education,Navneet Education;Keiretsu Forum;Divyashish Jindal (Head of Academics at
GTM Buddy,$2.00,14/09/2021,Hyderabad,SaaS,Seed,https://yourstory.com/2021/09/funding-alert-sales-tech-saas-startup-gtm-buddy-stellaris-venture-partners,Stellaris Venture Partners
Gobbly,$0.86,14/09/2021,Gurugram,General,Pre-Series A,https://yourstory.com/2021/09/retail-tech-startup-gobbly-raises-72-cr-in-pre-seriesa-round,Anicut Angel Fund;Sauce
Medpho,$1.00,13/09/2021,Noida,Healthtech,Seed,https://yourstory.com/2021/09/funding-alert-digtal-healthcare-startup-medpho-cygnus-medicare-group,Cygnus Medicare Group
Enercomp,$0.18,13/09/2021,Mumbai,Deeptech & AI,Acquisition,https://yourstory.com/2021/09/funding-drone-ai-tech-startup-enercomp-angel-round,
GimBooks,$50.00,11/09/2021,Bengaluru,Fintech,Series E,https://yourstory.com/2021/09/funding-alert-sme-focused-fintech-startup-gimbooks-seed-round-y-combinator,Ali Jamal;Founding Partner at First Check Ventures
Freight Tiger,$6.50,11/09/2021,Mumbai,SaaS,,https://yourstory.com/2021/09/funding-alert-freight-tiger-65-million-florintree-advisor-oyo-ritesh-agarwal,Florintree Infra;OYO Founder Ritesh Agarwal's family office;Aroa Ventures;Lightspeed India Partners;Moonstone Investments;Pawan Munjal Family Trust
Tier-II India,$1140.00,09/09/2021,India,General,,https://yourstory.com/2021/09/investors-exploring-bharat-tier-ii-cities-india-startup-funding,
Nova Benefits,$10.00,09/09/2021,India,General,Series A,https://yourstory.com/2021/09/employee-wellness-platform-nova-benefits-seriesa-round-sig-bessemer,Susquehanna International Group;Multiply Ventures;Better Capital;Titan Capital
Clever Harvey,$1.50,09/09/2021,India,Edtech,Pre-Series A,https://yourstory.com/2021/09/funding-edtech-startup-clever-harvey-pre-series-technova-ventures,TechNova Ventures;Education Catalyst Fund
Novique Health,,09/09/2021,India,Health Tech,Acquisition,https://inc42.com/buzz/healthtech-startup-beato-acquires-novique-health-to-help-indians-reverse-diabetes/,BeatO
LivQuik,$4.00,13/09/2021,India,Fintech,,https://inc42.com/buzz/m2p-invests-4-mn-in-payments-gateway-provider-livquik-to-serve-fintech-startups/,M2P Fintech
Aknamed,$36.77,14/09/2021,India,Enterprise Tech,Acquisition,https://inc42.com/buzz/exclusive-pharmeasy-invest-inr-307-cr-in-healthcare-supply-chain-startup-aknamed/,PharmEasy;API Holdings
Scalenut,$0.40,15/09/2021,India,SaaS,Seed,https://entrackr.com/2021/09/content-management-saas-platform-scalenut-bags-400k-in-seed-round/,Titan Capital;First Principles VC;AngelList;Abhishek Goyal
EasiLoan,$0.96,15/09/2021,Mumbai,Fintech,,https://entrackr.com/2021/09/easiloan-scoops-up-rs-8-cr-in-maiden-round-led-by-tomorrow-capital/,Tomorrow Capital
Mensa Brands,$10.00,15/09/2021,India,E-commerce,,https://entrackr.com/2021/09/exclusive-tiger-global-invests-in-mensa-brands-at-over-250-mn-valuation/,Tiger Global
Shadez,$0.20,15/09/2021,Mumbai,Home Interiors,Pre-Series A,https://entrackr.com/2021/09/inflection-point-ventures-leads-200k-pre-series-a-round-in-shadez/,Inflection Point Ventures
WickedGud,$0.34,13/09/2021,India,D2C,Pre-Seed,https://entrackr.com/2021/09/titan-capital-leads-340k-pre-seed-round-in-wickedgud/,Titan Capital;Archana Priyadarshini;Aman Gupta;Sameer Mehta;Harsh Vakharia
Jupiter,$45.00,13/09/2021,India,Fintech,Series B,https://entrackr.com/2021/09/decoding-jupiters-latest-round-and-its-shareholding-pattern/,Nubank;Global Founders Capital;Sequoia;Matrix Partners;3one4 Capital;Tanglin Ventures;Mirae Asset;Bedrock Capital;Greyhound Capital;Hummingbird Ventures;Amrish Rau
Open,$62.00,10/09/2021,Bengaluru,Fintech,Series C,https://entrackr.com/2021/09/exclusive-temasek-google-and-others-invest-62-mn-in-neobank-open/,Temasek;Google;Tiger Global Management;3one4 Capital
Lido Learning,$0.66,09/09/2021,Mumbai,Edtech,Seed,https://entrackr.com/2021/09/exclusive-ronnie-screwvala-invest-5-mn-in-lido-learning/,Ronnie Screwvala;ZNL Growth Fund
Mobile Premier League,$150.00,15/09/2021,India,Gaming,Series E,https://yourstory.com/2021/09/funding-esports-platform-mpl-enters-unicorn-club-seriese-financing,Legatum Capital;Sequoia;SIG;RTP Global;Go-Ventures;Moore Strategic Ventures
Leap,$55.00,11/09/2021,India,EdTech,Series C,https://yourstory.com/2021/09/weekly-funding-roundup-venture-investments-startups-second-week-september,Owl Ventures;Harvard Management Company;Jungle Ventures;Sequoia Capital India
Artium Academy,$0.75,15/09/2021,Mumbai,EdTech,Seed,https://yourstory.com/2021/09/funding-alert-sonu-nigam-whiteboard-capital-invest,Sonu Nigam;Whiteboard Capital;JetSynthesys
OneGreen,,15/09/2021,India,Ecommerce,Undisclosed,https://yourstory.com/2021/09/angel-funding-onegreen-ex-flipkart-founded-startup-jupiter-jitendra-gupta,Jitendra Gupta
EventBeep,,14/09/2021,India,EdTech,Seed,https://yourstory.com/2021/09/funding-sucseed-indovation-edtech-virtual-community-platform-eventbeep,SucSEED Indovation Fund;Uincept;Palimala Ventures
OckyPocky,,09/09/2021,Gurugram,EdTech,Seed,https://yourstory.com/2021/09/funding-alert-ockypocky-seed-udaan-sujeet-kumar-sucseed-indovation-fund,Sujeet Kumar;SucSEED Indovation Fund
Farmers Fresh Zone,$0.72,09/09/2021,Kochi,Agritech,Pre-Series A,https://yourstory.com/2021/09/funding-agritech-startup-farmersfreshzone-preseriesa-ian,Indian Angel Network;IAN Fund;Malabar Angel Network;Native Angel Network
HomeLane,$50.00,11/09/2021,Bengaluru,Home Interiors,Series E,https://yourstory.com/2021/09/jobs-roundup-homelane-interiors-tech-startup,IIFL AMC Late Stage Tech Fund;Oman India Joint Investment Fund;Stride Ventures;Pidilite;Sequoia;Accel
