Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
CipherGraph Networks,,05/12/2012,Bangalore,Cloud Security,Undisclosed,http://yourstory.com:80/2012/12/cloud-security-startup-cipergraph-raises-funding-round-from-chamath-palihapitiya/,Chamath Palihapitiya
Mast Kalandar,$6,03/12/2012,Bangalore,Food & Beverage,Unknown,http://yourstory.com:80/2012/12/mast-kalandars-magic-works-on-foodies-raises-us-6-million-in-third-round-of-funding/,Helion Venture Partners;Footprint Ventures
Enhance Aesthetic and Cosmetic Studio,,04/12/2012,Kolkata,Healthcare,Undisclosed,http://yourstory.com:80/2012/12/matrix-partners-picks-up-stake-in-kolkata-based-aesthetic-and-cosmetic-studio-enhance/,Matrix Partners India
WhistleTalk,$0.4,03/12/2012,Bangalore,HR Tech,Seed,http://yourstory.com:80/2012/12/referral-hiring-startup-whistletalk-raises-400000-from-hyderabad-angles/,Hyderabad Angels
Plivo,$1.75,03/12/2012,India,Cloud Telephony,Seed,http://yourstory.com:80/2012/12/the-morpheus-ycombinator-alum-plivo-raises-seed-round-from-andreessen-horowitz-others/,Andreessen Horowitz;Battery Ventures;Qualcomm Incorporated;SV Angel
ZipDial,$0.25,04/12/2012,Bangalore,Mobile Marketing,Seed,http://yourstory.com:80/2012/12/zipdial-raises-second-round-of-seed-funding-from-500-startups/,500 Startups
