Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Aakar Innovations,,09/12/2014,Ahmedabad,Social Enterprise,Undisclosed,https://yourstory.com/2014/12/aakar-innovations-ciie-funding/,CIIE;Artha Platform
iLoveRead,,05/12/2014,Chennai,E-commerce,Acquisition,http://yourstory.com:80/2014/12/chennai-anycommerce-second-acquisition-online-library-iloveread/,AnyCommerce
Gigstart,$0.2,04/12/2014,Delhi,Marketplace,Seed,http://yourstory.com/2014/12/gigstart-funding-snapdeal-rajesh-sawhney/,Indian Dream Capital;Rajesh Sawhney;Rohit Bansal;Kunal Bahl;Narendra Singh Rawat;TA Venture Holding;Roshan Abbas;Anand Chandrasekaran
TinyOwl,$3,06/12/2014,Mumbai,Food Delivery,Series A,http://yourstory.com:80/2014/12/sequoia-nexus-funding-tinyowl/,Sequoia Capital;Nexus Venture Partners
Wegilant,$0.16,05/12/2014,Mumbai,Cybersecurity,Unknown,http://yourstory.com/2014/12/wegilant-raises-fund/,Gaurav Sharma;Ravi Gururaj;RippleWave
Youth4work,$0.5,09/12/2014,India,HR Tech,Bridge,http://yourstory.com/2014/12/youth4work-funding/,Sanjay Bansal;Dan Sandhu;Aurum Equity Partners;GAP Investments
