Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Abhibus,$23.62,01/01/2013,Hyderabad,E-commerce,Acquisition,https://yourstory.com/2013/01/india-deal-digest-16012013-yebhi-com-looking-to-raise-over-100-cr-in-the-next-three-months/amp,
ScaleArc,$12.3,01/01/2013,India,General,Series C,http://yourstory.com:80/2013/01/nexus-and-trinity-backed-scalearc-raises-12-3-million-series-c-round-led-by-accel-partners/,Accel Partners;Accel Ventures;Nexus Ventures;Trinity Ventures
Suryoday Microfinance,$3.45,01/01/2013,Mumbai,General,Unknown,http://yourstory.com:80/2013/01/suryoday-microfinance-raises-inr-20-crore-round-led-by-aavishkaar-goodwell-and-lok-capital/,Aavishkaar Goodwell;Lok Capital
MultiStory Learning,$0.04,03/01/2013,Chennai,EdTech,Seed,http://yourstory.com:80/2013/01/multistory-learning-pvt-ltd-an-english-learning-curriculum-product-raises-45000-angel-round/,
Power2sme,,02/01/2013,India,B2B,Undisclosed,http://yourstory.com:80/2013/01/india-deal-digest-01012013-last-week-of-2012-roundup/,Kalaari Capital
Ping Digital Broadcast,,06/01/2013,India,Media,Seed,http://yourstory.com:80/2013/01/india-deal-digest-060113-ebay-inc-considering-a-minority-investment-in-snapdeal/,
Zoomin,$1.38,04/01/2013,Mumbai,E-commerce,Venture Debt,http://yourstory.com:80/2013/01/svb-india-finance-provides-growth-debt-worth-1-6-million-to-the-photo-superstore-zoomin/,SVB India Finance
