Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Grad,$5.99,11/08/2020,India,Edtech,Debt,https://inc42.com/buzz/exclusive-upgrad-raises-inr-50-cr-debt-from-iifl-income-opportunities-fund/,
Springboard,$31.00,05/08/2020,India,Edtech,Series B,https://inc42.com/buzz/edtech-platform-springboard-raises-31-mn-in-series-b-round/,Telstra Ventures;SJF Ventures;Vulcan Capital;Pearson Ventures;Reach Capital;International Finance Corporation (IFC);500 Startups;Blue Fog Capital;Learn Capital
ZestMoney,$9.58,08/08/2020,Bengaluru,Fintech,Series B,https://inc42.com/buzz/zestmoney-receives-inr-80-cr-infusion-from-parent/,
Springboard,$35.00,08/08/2020,Gurugram,Deeptech & AI,Pre-Series A,https://entrackr.com/2020/08/funding-in-indian-startups-this-week-03-aug-08-aug/,Telstra Ventures;Sequoia Surge;Eagle10 Ventures;India Accelerator;HNIs
BigHaat,$2.00,11/08/2020,Bengaluru,Agritech,Pre-Series A,https://yourstory.com/2020/08/funding-agritech-startup-bighaat-ankur-capital-beyond-next-ventures,Rockstud Capital;BigHaat’s existing investor Ankur Capital
Terra.do,$1.40,11/08/2020,India,General,Seed,https://yourstory.com/2020/08/funding-alert-online-climate-school-terrado-rainmatter-beenext,Stanford Angels;Entrepreneurs (India);BEENEXT Emerging Asia;Paula Mariwala;Beenext
Chingari,$1.30,10/08/2020,India,General,Seed,https://yourstory.com/2020/08/funding-alert-tiktok-chingari-seed-round,
Sutram,$0.24,05/08/2020,Kolkata,Agritech,,https://yourstory.com/2020/08/funding-tech-startup-kolkata-data-sutram-ian-ai,
WhiteHat Jr,$300.00,06/08/2020,Mumbai,Edtech,Acquisition,https://inc42.com/buzz/18-months-150-mn-arr-byjus-acquires-whitehat-jr-for-300-mn/,BYJU'S
FreshToHome,$16.20,07/08/2020,Bengaluru,E-commerce,,https://inc42.com/buzz/exclusive-freshtohome-is-raising-16-2-mn-funding-from-ascent-at-244-mn-enterprise-valuation/,Ascent Capital Advisors
Truebil,,06/08/2020,Mumbai,E-commerce,Acquisition,https://inc42.com/buzz/spinny-acquires-truebil-to-challenge-auto-giants-in-used-cars-segment/,Spinny
HomeLane,$3.35,11/08/2020,Bengaluru,E-commerce,Series D,https://entrackr.com/2020/08/exclusive-homelane-to-top-up-series-d-round-from-existing-investors/,JSW Ventures;Evolvence India Fund;Sequoia Capital;Accel Partners
POPxo,,07/08/2020,Gurugram,E-commerce,Acquisition,https://entrackr.com/2020/08/hybrid-beauty-platform-myglamm-acquires-popxo/,MyGlamm
WhiteHat Jr,$300.00,05/08/2020,Mumbai,Edtech,Acquisition,https://entrackr.com/2020/08/byjus-acquires-whitehat-jr-300-mn/,Byju's
DocSumo,$0.22,10/08/2020,Mumbai,Deeptech & AI,Seed,https://yourstory.com/2020/08/funding-docsumo-better-capital-techstars-barclays,Better Capital;Techstars;Barclays
CUSMAT,,10/08/2020,Hyderabad,Deeptech & AI,Seed,https://yourstory.com/2020/08/funding-alert-venture-catalysts-ar-vr-cusmat,Venture Catalysts;Multiply Ventures;Better Capital;MapMyIndia
Wobot,$2.50,07/08/2020,Delhi,Deeptech & AI,Pre-Series A,https://yourstory.com/2020/08/weekly-funding-roundup-investments-drop-to-mere-9-pc,Sequoia Capital India
