Company,Amount ($M),Date,HQ,Sector,Series,Source
https://eumeworld.com/,$3.00,27/05/2025,Mumbai,Travel Accessories,Series A,https://entrackr.com/snippets/travel-accessories-brand-eume-raises-rs-25-cr-in-series-a-9310121
Saarathi Finance,$55.56,28/05/2025,Mumbai,Fintech - NBFC,,https://entrackr.com/snippets/saarathi-finance-secures-rs-475-cr-equity-capital-9313667
drools,,26/05/2025,Bengaluru,Pet Food,Unknown,https://inc42.com/buzz/drools-enters-unicorn-club-after-nestles-investment/,
https://thegrowit.com/,$3.00,28/05/2025,Surat,Agritech,Series A,https://entrackr.com/snippets/growit-raises-3-mn-in-series-a-round-led-by-gvfl-9313488
https://www.fleetx.io/,$13.20,27/05/2025,Gurugram,Fleet Management,Series C,https://entrackr.com/news/fleetx-raises-rs-113-cr-in-series-c-led-by-indiamart-and-beenext-9309763
https://www.khiladipro.com/,$1.00,29/05/2025,Bengaluru,Sportstech,Pre-Seed,https://entrackr.com/snippets/sports-tech-startup-khiladipro-secures-1mn-in-pre-seed-round-9317219
https://contineu.ai/,$1.20,27/05/2025,Bengaluru,Deeptech,Seed,https://entrackr.com/snippets/deep-tech-startup-contineu-raises-12-mn-led-by-senseai-ventures-9310309
https://citykart.co.in/,$63.00,27/05/2025,Gurugram,Fashion Retail,Series B,https://entrackr.com/news/citykart-raises-rs-538-cr-led-by-tpg-newquest-and-a91-partner-9309720
https://orbitt.space/,$1.00,28/05/2025,Ahmedabad,Spacetech,Pre-Seed,https://entrackr.com/snippets/orbitt-space-raises-1-mn-in-pre-seed-round-led-by-pi-ventures-9313216
https://ilios72altcap.co.in/,$0.12,28/05/2025,Gurugram,Fintech - Wealth Management,Seed,https://entrackr.com/snippets/wealth-management-firm-ilios-72-alternative-capital-raises-seed-round-9314010
https://snabbit.com/,$19.00,29/05/2025,Mumbai,On-demand Home Services,,https://entrackr.com/news/quick-service-platform-snabbit-raises-19-mn-led-by-lightspeed-9316145
https://getcleevo.com/,$1.00,29/05/2025,Chennai,Home Hygiene,Seed,https://entrackr.com/snippets/cleevo-raises-1-mn-in-seed-round-led-by-eternal-capital-9316482
https://frinks.ai/,$5.40,27/05/2025,Bengaluru,Deeptech,Pre-Series A,https://entrackr.com/snippets/frinks-ai-raises-54-mn-in-pre-series-a-round-9310766
https://samunnati.com/,$5.00,27/05/2025,Chennai,Agri-focused Fintech,Series E,https://entrackr.com/snippets/samunnati--series-pre-e-at-rs-381-cr-9311435
https://slikk.club/,$10.00,27/05/2025,Bengaluru,Quick Fashion Delivery,Series A,https://entrackr.com/news/quick-fashion-delivery-startup-slikk-raises-10-mn-led-by-nexus-9309173
https://chalo.com/,$6.10,30/05/2025,Mumbai,Mobility,Debt + Equity,https://inc42.com/buzz/exclusive-chalo-funding-mobility-startup-raises-inr-53-cr-from-cofounders-others/
https://www.batterysmart.in/,$29.00,30/05/2025,Gurugram,EV - Battery Swapping,Series B,https://inc42.com/buzz/battery-smart-bags-29-mn-from-rising-tide-energy-others/
