Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
IBM,$1,01/12/2009,Pune,Edtech,Unknown,https://yourstory.com/2009/12/ibm-bags-rs-380-cr-deal-from-digicable,Australian edtech fund
Livemocha,$8,01/12/2009,India,General,Series A,https://yourstory.com/2009/12/indian-founded-livemocha-raises-8-million,August Capital;Maveron in December 2007
Insta Health Solutions,,28/11/2009,Bangalore,Healthcare,Undisclosed,http://yourstory.com:80/2009/11/mumbai-angels-invests-in-early-stage-healthcare-solutions-company-insta-health/,Mumbai Angels
