Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Kuliza,,29/08/2013,Bangalore,IT Services,Undisclosed,http://yourstory.com:80/2013/08/bangalore-based-kuliza-receives-strategic-investment-from-blume-ventures/,Blume Ventures
Little Eye Labs,,27/08/2013,India,Software,Seed,http://yourstory.com:80/2013/08/news-gsf-superangels-announces-5-seed-investments-in-their-portfolio-companies/,GSF Superangels;VentureEast
VoxApp,,26/08/2013,New Delhi,SaaS,Undisclosed,http://yourstory.com:80/2013/08/voxapp-a-mobile-surveys-startup-announces-angel-funding-from-a-syndicate-of-investors/,Blume Ventures;Narayanan Shadagopan;Palaash Ventures;Sachin Bhatia;Ramesh Haridas;Vikas Taneja;Sidharth Rao
Thrillophilia,$0.2,01/09/2013,Bangalore,Travel,Unknown,http://yourstory.com:80/2013/09/thrillophilia-funding-2nd-round/,Hyderabad Angels;iLabs Venture Capital Fund;Navlok Ventures;CII (IIM A)
yoCAPTCHA,,01/09/2013,India,Digital Advertising,Acquisition,http://yourstory.com:80/2013/09/yocaptchas-acquisition-from-the-eyes-of-the-founder-ankit-gupta/,Networkplay
