Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
BharatPe,$23.95,19/08/2021,Delhi,General,Series E,https://inc42.com/buzz/bharatpe-bags-inr-200-cr-debt-fund-from-iifl-and-northern-arc-capital/,Tiger Global at valuation of $2
Bira91,$20.00,20/08/2021,Delhi,E-commerce,Series D,https://inc42.com/buzz/exclusive-bira91-raises-20-mn-from-new-and-existing-investors/,
Zetwerk,$150.00,23/08/2021,Bengaluru,General,Series D,https://inc42.com/buzz/exclusive-zetwerk-enters-unicorn-club-with-inr-780-cr-fundraise/,Cayman-based D1 Capital Partners;New York-based D1 Capital Partners;US-based investment firm D1 Capital Partners;637;Lightspeed;Greenoaks;Accel;Avenir;IIFL
Khatabook,$100.00,24/08/2021,India,Fintech,Series C,https://inc42.com/buzz/khatabook-raises-100-mn-will-buyback-esop-worth-10-mn/,US-based Tribe Capital;Moore Strategic Ventures;US-based VC firms;Alkeon Capital;Sequoia Capital;Tencent;RTP Ventures;Unilever Ventures;Better Capital
Palette,$5.50,25/08/2021,India,Foodtech,Series A,https://inc42.com/buzz/foodtech-startup-ai-palette-raises-funds-led-by-pi-ventures-exfinity-venture/,Exfinity Venture;Exfinity Venture Partners;Decacorn Capital
Delhivery,$100.00,25/08/2021,Bengaluru,E-commerce,Acquisition,https://inc42.com/buzz/delhivery-acquires-spoton-samara-capital-and-xponentia-get-exit/,
Tooliqa Innovations,$1.50,25/08/2021,Gurugram,Edtech,Pre-Seed,https://entrackr.com/2021/08/deep-tech-startup-tooliqa-innovations-raises-1-5-mn-pre-seed-round/,Aditya Raj;Dipak Singh;Deepak Bansal;Deepak Bansal of MarketCube
TartanSense,$5.00,25/08/2021,Bengaluru,Agritech,Series A,https://entrackr.com/2021/08/blume-ventures-backed-agritech-robotics-startup-tartansense-raises-5-mn/,FMC Ventures;Omnivore;Blume Ventures;BEENEXT
Bewakoof,$7.19,25/08/2021,India,D2C,Acquisition,https://entrackr.com/2021/08/d2c-fashion-brand-bewakoof-raises-rs-60-cr-led-by-investcorp/,InvestCorp
Mensa Brands,$33.00,23/08/2021,India,E-commerce,Debt,https://entrackr.com/2021/08/exclusive-amid-talks-with-tiger-global-mensa-brands-raises-33-mn/,
Kirana247,$1.00,23/08/2021,Delhi,E-commerce,Pre-Series A,https://entrackr.com/2021/08/fmcg-e-commerce-startup-kirana247-raises-1-mn-in-pre-series-a-round/,
Bn. PhonePe,$1031.00,21/08/2021,Bengaluru,E-commerce,Series A,https://entrackr.com/2021/08/funding-in-indian-startups-this-week-16-aug-21-aug/,Insight Partners;Battery Ventures;BOND;CRV;Nexus Venture Partners;D1 Capital Partners
LocoNav,$3.00,19/08/2021,India,Deeptech & AI,Series B,https://entrackr.com/2021/08/sequoia-backed-loconav-rolls-out-esop-buyback-scheme-worth-3-mn/,Quiet Capital
RACEnergy,$1.30,19/08/2021,Hyderabad,EV & Mobility,Seed,https://entrackr.com/2021/08/ev-infra-startup-racenergy-raises-1-3-mn-round/,Micelio Fund;Prophetic ventures
AgNext,$21.00,19/08/2021,Chandigarh,Agritech,Pre-Series A,https://entrackr.com/2021/08/exclusive-agritech-startup-agnext-raises-over-21-mn-led-by-awi/,AWI;Falcon Edge’s Alpha Wave Incubation;Taranjeet Singh Bhamra
Kieraya,$15.00,24/08/2021,India,General,Debt,https://yourstory.com/2021/08/furniture-subscription-platform-furlenco-raises-15million-tradecred,
IsGoingOnline,$0.18,25/08/2021,Kochi,Deeptech & AI,Pre-Series A,https://yourstory.com/2021/08/funding-sme-online-marketplace-isgoingonline-kochi-startup,Artha Venture Fund;Unicorn India Ventures;SEA Fund;Devdatt Shah
FanPlay,$1.20,25/08/2021,Indore,Gaming,Pre-Series A,https://yourstory.com/2021/08/funding-alert-gaming-startup-fanplay-12m-cred-kunal-shah-upsparks,Upsparks;CRED Founder Kunal Shah
Read Curefoods,$13.00,25/08/2021,India,Agritech,Series A,https://yourstory.com/2021/08/startup-news-and-updates-daily-roundup-aug-25-2021,Iron Pillar;Nordstar;Binny Bansal
Kirana247,$1.00,25/08/2021,Delhi,General,Pre-Series A,https://yourstory.com/2021/08/supply-chain-startup-kirana247-raises-pre-series-a-round,
Winvesta,$1.00,25/08/2021,India,General,Seed,https://yourstory.com/2021/08/funding-financial-startup-winvesta-seed-round-kunal-shah,
Curefoods,$13.00,24/08/2021,India,Foodtech,Series A,https://yourstory.com/2021/08/funding-alert-curefoods-raises-13million-funding,Iron Pillar;Nordstar;Binny Bansal
Palatte,$4.40,24/08/2021,Hyderabad,Foodtech,Series A,https://yourstory.com/2021/08/funding-alert-singapore-foodtech-startup-ai-palatte-seriesa-pi-ventures,Exfinity Ventures;Hyderabad-based Anthill Ventures;Hyderabad-based
Synth,$6.00,24/08/2021,Bengaluru,Deeptech & AI,,https://yourstory.com/2021/08/synth-raises-funds-y-combinator,Fireside Ventures
Syook,$1.00,24/08/2021,Bengaluru,General,Series A,https://yourstory.com/2021/08/enterprise-tech-syook-funding-ipv-ongc,Sequoia Capital India;BEENEXT
Breathe Well-being,$5.50,24/08/2021,India,General,Series A,https://yourstory.com/2021/08/funding-alert-breathe-well-being-accel-partners,Accel;Accel Partners;General Catalyst;Scott Shleifer;Global MD;Tiger Global
Lumiq,$2.00,24/08/2021,India,General,Pre-Series A,https://yourstory.com/2021/08/funding-alert-data-analytics-startup-lumiq-info-edge-ventures,Info Edge Ventures;Redstart Labs
NOTO,$0.48,24/08/2021,India,General,Pre-Series A,https://yourstory.com/2021/08/funding-alert-noto-actor-producer-john-abraham-titan-rockstud-capital,WEH Ventures
Smytten,$6.00,24/08/2021,India,D2C,Series A,https://yourstory.com/2021/08/funding-smytten-fireside-ventures-d2c-startups-technology-ecommerce,Fireside Ventures;Prime Venture Partners;Venture Highway;Y Combinator;Sharrp Ventures (Mariwala family office);Survam Partners (Suman Kant Munjal family office);Waao Partners (Pratul Shroff family office);Roots Ventures
AppsForBharat,$4.00,24/08/2021,Bengaluru,General,Seed,https://yourstory.com/2021/08/funding-alert-appsforbharat-seed-round-sequoia-capital-india-beenext,Sequoia Capital India;BEENEXT;WEH Ventures
Bigspoon,$1.80,20/08/2021,Ahmedabad,General,Pre-Series A,https://yourstory.com/2021/08/funding-alert-cloud-kitchen-startup-bigspoon-pre-series-a,Sanjiv Bajaj;Bhanu Chopra;Jatin Aneja
IPO-bound OYO,$5.00,20/08/2021,Gurugram,General,,https://yourstory.com/2021/08/funding-alert-microsoft-oyo-series-f2-ipo-hospitality,
LoanKuber,$1.25,20/08/2021,Delhi,General,Pre-Series A,https://yourstory.com/2021/08/digital-mortgage-platform-loankuber-funding,LetsVenture;AngelList India;Accolade
Xpresslane,$0.36,19/08/2021,Bengaluru,E-commerce,Pre-Seed,https://yourstory.com/2021/08/funding-alert-xpresslane-online-checkout-transactions,Rohit Chanana
Gyde,$2.51,19/08/2021,Pune,Deeptech & AI,Seed,https://yourstory.com/2021/08/funding-ai-software-assistance-platform-gyde-seed-round,Prime Venture Partners;Venture Highway;Y Combinator
Hiration,$2.51,19/08/2021,New Delhi,Deeptech & AI,,https://yourstory.com/2021/08/funding-hiration-prime-venture-partners-venture-higway-y-combinator,Prime Venture Partners;Venture Highway;Y Combinator
Read Hiration,$2.51,19/08/2021,Hyderabad,EV & Mobility,Seed,https://yourstory.com/2021/08/startup-news-and-updates-daily-roundup-aug-19-2021,Prime Venture Partners;Venture Highway;Y Combinator;Micelio Fund
Eduvanz,$11.98,20/08/2021,India,Fintech,Series B,https://inc42.com/buzz/education-loan-provider-eduvanz-raises-inr-100-cr-led-by-juvoventures-others/,JuvoVentures;Sequoia Capital;Unitus Ventures
Grofers,$62.06,19/08/2021,India,Foodtech,,https://inc42.com/buzz/zomato-completes-inr-740-cr-investment-in-grofers/,Zomato
Blowhorn,,21/08/2021,India,Logistics,Undisclosed,https://inc42.com/buzz/logistics-provider-blowhorn-raises-funds-from-symphony-international-holdings-limited-others/,Symphony International Holdings;Chiratae Ventures;Draper Associates;Michael and Susan Dell Foundation
Furlenco,$15.00,24/08/2021,Bengaluru,Consumer,Debt,https://inc42.com/buzz/furniture-rental-startup-furlenco-bags-15-mn-from-tradecred/,TradeCred
Lumiq,$2.00,25/08/2021,India,Enterprise Tech,Seed,https://inc42.com/buzz/data-analytics-startup-lumiq-raises-funds-from-info-edge-ventures-redstart-labs/,Info Edge Ventures;Redstart Labs;Parampreet Bhasin
Curefoods,$13.00,25/08/2021,India,Ecommerce,Series A,https://inc42.com/buzz/curefoods-raises-13-mn-eyes-acquisitions-of-digital-first-food-brands/,Iron Pillar;Nordstar;Binny Bansal;Adil Allana;Rashmi Kwatra;Lydia Jett;Kunal Shah
Hike,,24/08/2021,India,Media & Entertainment,Undisclosed,https://inc42.com/buzz/hike-receives-investment-from-tinder-cofounders-other-investors/,Sean Rad;Justin Mateen;Rajeev Mishra;Arjun Sethi;Bhavin Turakhia;Kunal Bahl;Binny Bansal;Kunal Shah
