Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Flinto,$7.20,02/07/2020,Chennai,Edtech,Series A,https://inc42.com/buzz/edtech-startup-flinto-raises-7-2-mn-in-pre-series-b-funding-from-lightbox-ventures/,Lightbox
Paper Boat,$3.35,02/07/2020,Gurugram,E-commerce,Series C,https://inc42.com/buzz/paper-boat-bags-inr-28-cr-from-sofina-ventures-a91-emerging-fund/,
Zetwerk,$226.89,03/07/2020,India,General,Series B,https://inc42.com/buzz/daily-tech-briefing-intel-capital-invests-in-jio-zetwerk-raises-21-mn-more/,San Francisco-based investment firm Greenoaks;Accel;Kae Capital;Lightspeed;Sequoia Capital India
Aye Finance,$14.97,06/07/2020,Gurugram,Fintech,Series E,https://inc42.com/buzz/aye-finance-bags-inr-125-cr-debt-from-invest-in-vision/,
Aavenir,$2.00,07/07/2020,Ahmedabad,Deeptech & AI,Seed,https://inc42.com/startups/aavenir-bets-on-ai-to-automate-end-to-end-procurement-for-enterprises/,
Zetwerk,$43.00,04/07/2020,Bengaluru,Fintech,Pre-Series A,https://entrackr.com/2020/07/funding-in-indian-startups-this-week-29-june-04-july/,Greenoaks Capital;Accel Partners;Stride Ventures;Titan Capital
BluSmart,$4.43,03/07/2020,Gurugram,EV & Mobility,Pre-Series A,https://entrackr.com/2020/07/exclusive-blusmart-raises-rs-37-cr-in-pre-series-a-round/,
Mitron Tv,$0.24,01/07/2020,Bengaluru,General,Seed,https://entrackr.com/2020/07/mitron-tv-bags-rs-2-cr-from-3one4-capital-and-lets-venture/,
Zetwerk,$21.00,01/07/2020,Bengaluru,General,Series B,https://entrackr.com/2020/07/exclusive-zetwerk-secures-21-mn-series-c-243-mn-valuation/,Accel Partners;Greenoaks Capital;Mauritius-based Kalysta Capital Fund;Subhsiah Vellayan;BlackBuck’s co-founder Rajesh Yabaji;Sanjeev Rangrass who lead the Agri Businesses for ITC Limited
Securden,$1.20,07/07/2020,Delhi,E-commerce,Seed,https://yourstory.com/2020/07/cybersecurity-startup-securden-seed-funding-accel-freshworks,Accel;Girish Mathrubootham;CEO of
Chai Waale,$0.21,07/07/2020,Chennai,General,Series C,https://yourstory.com/2020/07/angel-funding-alert-chennai-tea-startup-chai-waale,Sixth Sense Ventures
Zolostays,$56.00,07/07/2020,Bengaluru,Deeptech & AI,Series C,https://yourstory.com/2020/07/funding-zolostays-series-c-investcorp-nexus-ventures,Investcorp;Nexus Venture Partners;Mirae Assets;Trifecta Capital
Frontier Markets,$2.25,06/07/2020,Jaipur,E-commerce,Pre-Series A,https://yourstory.com/2020/07/funding-alert-last-mile-distribution-startup-frontier-markets-pre-series-a,
Gobbly,$1.00,06/07/2020,Gurugram,E-commerce,Seed,https://yourstory.com/2020/07/funding-alert-contactless-retail-tech-startup-gobbly-sauce-vc-1,Sauce
Reliance Jio,$253.00,03/07/2020,India,Deeptech & AI,,https://yourstory.com/2020/07/reliance-jio-raises-intel-venture-capital-arm-investment-ambani,
Bulk MRO,$2.99,02/07/2020,Delhi,Fintech,Series C,https://yourstory.com/2020/07/debt-funding-b2b-startup-bulk-mro-stride-ventures,Stride Ventures;Tiger;Sequoia;Composite Capital
1mg,$17.00,02/07/2020,Gurugram,Healthtech,Debt,https://inc42.com/buzz/exclusive-1mg-looks-to-raise-17-mn-debt-from-existing-investors/,MPOF Mauritius;MAF Mauritius;HBM Healthcare Investments;KWE Beteiligungen;IFC
Nxtra Data,$235.00,01/07/2020,Delhi,SaaS,Series A,https://inc42.com/buzz/carlyle-invests-235-mn-in-airtels-nxtra-data-centres-at-1-2-bn-valuation/,Carlyle Group
Mitron,,01/07/2020,Bengaluru,Media & Entertainment,Seed,https://inc42.com/buzz/two-days-after-tiktok-ban-indian-alternative-mitron-raises-funding-from-3one4-capital/,3one4 Capital;LetsVenture syndicate
Jio Platforms,$253.00,03/07/2020,Mumbai,Telecom,Series A,https://inc42.com/buzz/reliance-jio-platforms-bags-253-mn-from-intel-capital/,Intel Capital
Bulk MRO,$2.99,03/07/2020,Mumbai,Logistics,Debt,https://inc42.com/buzz/yc-backed-bulk-mro-bags-inr-25-cr-debt-from-stride/,Stride Ventures
Indus OS,$2.86,03/07/2020,Mumbai,Deeptech & AI,Acquisition,https://inc42.com/buzz/affle-to-acquire-8-stake-in-indus-os-for-2-86-mn/,Affle
PolicyBazaar,$130.00,06/07/2020,Gurugram,Fintech,Series F,https://inc42.com/buzz/softbank-pumps-in-130-mn-into-policybazaar-at-1-5-bn-valuation/,SoftBank Vision Fund
PrepLadder,$50.00,07/07/2020,Chandigarh,Edtech,Acquisition,https://inc42.com/buzz/unacademy-acquires-edtech-startup-prepladder-for-50-mn/,Unacademy
Decentro,,07/07/2020,Bengaluru,Fintech,Seed,https://yourstory.com/2020/07/funding-y-combinator-startup-decentro,Y Combinator;Plug and Play;Upsparks
Affle,$2.51,03/07/2020,Bengaluru,Deeptech & AI,Acquisition,https://yourstory.com/2020/07/affle-acquire-8pc-stake-in-indus-os,
Zetwerk Manufacturing Businesses,$21.00,03/07/2020,Bengaluru,SaaS,Series C,https://yourstory.com/2020/07/weekly-funding-roundup-investments-coronavirus-startup-ecosystem,Greenoaks Capital;Accel;Kae Capital;Lightspeed;Sequoia Capital India
Beardo,,01/07/2020,Ahmedabad,E-commerce,Acquisition,https://yourstory.com/2020/07/acquisition-fmcg-marico-acquires-mens-grooming-startup-beardo,Marico
