Company,Amount ($M),Date,HQ,Sector,Series,Source
https://enjoyrio.in/,$1.17,15/04/2025,Pune,Beverage Brand,Pre-Series A,https://entrackr.com/snippets/beverage-startup-rio-innobev-raises-rs-10-cr-led-by-atomic-capital-8965035
https://thatsassything.com/,$0.70,17/04/2025,Delhi,Wellness and Fitness,Seed,https://entrackr.com/snippets/that-sassy-thing-raises-rs-6-cr-in-seed-round-led-by-ipv-8971464
https://www.goodmonk.in/,$2.00,17/04/2025,Bengaluru,Nutrition Brand,Pre-Series A,https://entrackr.com/snippets/good-monk-raises-2-mn-in-pre-series-a-round-led-by-rpsg-capital-8971461
https://beastlife.in/,$0.22,14/04/2025,Gurugram,Nutrition Brand,,https://entrackr.com/snippets/indian-cricketer-rinku-singh-invests-rs-19-cr-in-beastlife-at-120-cr-valuation-8960958
https://varthana.com/,$8.77,17/04/2025,Bengaluru,Fintech,Debt,https://inc42.com/buzz/exclusive-varthana-bags-inr-75-cr-debt-funding-from-ofbusiness-oxyzo/
http://i-pec.in/,$3.00,16/04/2025,Bengaluru,EV Charging,,https://entrackr.com/snippets/ev-charging-startup-ipec-bags-3-mn-from-gruhas-8968756
https://www.garudaaerospace.com/,$11.70,16/04/2025,Chennai,Drone,Series B,https://inc42.com/buzz/garuda-aerospace-bags-inr-100-cr-from-venture-catalysts-others/
https://jewelbox.co.in/,$3.20,16/04/2025,Kolkata,Jewellery Brand,Pre-Series A,https://entrackr.com/snippets/jewelbox-raises-32-mn-in-pre-series-a-round-8966846
https://www.ofbusiness.com/,$11.70,16/04/2025,Gurugram,B2B Marketplace - Construction Materials,,https://inc42.com/buzz/ipo-bound-ofbusiness-snags-inr-100-cr-from-cornerstone/
https://sportsskill.app/,,14/04/2025,Pune,Sports Tech,Pre-Seed,https://entrackr.com/snippets/sports-tech-startup-sportsskill-bags-pre-seed-round-led-by-waimea-bay-investments-8960409
https://www.peppermintrobotics.com/,$4.00,16/04/2025,Pune,Robotics,Series A,https://entrackr.com/snippets/peppermint-raises-4-mn-to-expand-in-eu-japan-and-apac-8967307
https://curacare.in/,$0.58,14/04/2025,Bengaluru,Healthcare,Pre-Seed,https://entrackr.com/snippets/cura-care-raises-rs-5-cr-in-pre-seed-round-led-by-zeropearl-vc-8960594
uppercase,,17/04/2025,Mumbai,D2C Luggage Brand,Unknown,https://entrackr.com/snippets/jasprit-bumrah-invests-in-luggage-brand-uppercase-8959902,
https://magmagroup.in/,$5.00,16/04/2025,Ahmedabad,Manufacturing,Series A,https://entrackr.com/snippets/magma-raises-5-mn-in-series-a-round-led-by-capria-ventures-8969008
https://www.nothingbeforecoffee.com/,$2.30,16/04/2025,Jaipur,QSR - Coffee Chain,Pre-Series A,https://entrackr.com/snippets/nothing-before-coffee-bags-23-mn-in-pre-series-a-round-8967106
https://optimizedelectrotech.com/,$6.00,17/04/2025,Ahmedabad,Deeptech,Series A,https://entrackr.com/snippets/optimized-electrotech-raises-6-mn-in-series-a-round-8960093
,,,,,,
https://www.planckred.com/,$0.50,17/04/2025,Delhi,Data Infrastructure,Pre-Seed,https://entrackr.com/snippets/deep-tech-startup-planck-bags-pre-seed-funding-ok-8971726
https://centa.org/,$2.33,15/04/2025,Bengaluru,Edtech,Series A,https://entrackr.com/snippets/centa-raises-rs-20-cr-in-series-a1-round-led-by-colossa-ventures-8963164
https://www.rayzonsolar.com/,$16.20,18/04/2025,Surat,Solar,,https://entrackr.com/exclusive/exclusive-sachin-tendulkar-and-others-invest-18-mn-in-rayzon-solar-at-844-mn-valuation-8976444
