Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Wilson Sandhu Logistics,$10.47,24/04/2008,Mumbai,Logistics,Unknown,http://www.vccircle.com:80/2008/04/24/blue-river-capital-invests-10-million-in-wilson-sandhu-logistics/,Blue River Capital
Lizer Cylinders,$10,25/04/2008,India,Manufacturing,Unknown,http://www.vccircle.com:80/2008/04/25/lizer-cylinders-gets-10-million-from-south-africas-rand-merchant-bank/,Rand Merchant Bank Private Equity
Synergy Property Development Services,$18,28/04/2008,Bangalore,Project Management,Unknown,http://www.vccircle.com:80/2008/04/28/blackstone-real-estate-invests-18-million-in-synergy-property/,Blackstone Real Estate Partners
