Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
You’ve,$1000.00,17/01/2020,India,General,,https://inc42.com/buzz/youve-raised-the-bar-mahindra-praises-microsofts-carbon-negative-initiative/,
Samya.AI,$6.00,20/01/2020,Bengaluru,Fintech,Seed,https://inc42.com/buzz/samya-ai-raises-6-mn-from-sequoia-to-bring-its-fmcg-saas-tool-to-market/,
Digit Insurance,$140.00,21/01/2020,Bengaluru,Insurtech,,https://inc42.com/buzz/digit-insurance-bags-84-mn-funding-from-a91-partners-tvs-capital/,
Zoomcar,$30.00,21/01/2020,Bengaluru,General,Series D,https://entrackr.com/2020/01/zoomcar-secures-30-mn/,Sony Innovation Fund;Mahindra;WeWork’s India
Venture Highway,$78.60,17/01/2020,India,General,Series A,https://entrackr.com/2020/01/venture-highway-closes-78-6-mn-second-fund/,
Zinier,$90.00,16/01/2020,Bengaluru,Deeptech & AI,Series B,https://entrackr.com/2020/01/zinier-secures-90-mn-series-c-round/,Accel;Tiger Global Management;Founders Fund;NGP Capital;Newfund Capital;Qualcomm Ventures LLC
Skylo Technologies,$116.00,21/01/2020,India,General,Series A,https://yourstory.com/2020/01/skylo-technologies-funding-startup-stealth-softbank,Innovation Endeavors;Softbank
Mera Cashier,$25.00,21/01/2020,Noida,Fintech,Series A,https://yourstory.com/2020/01/funding-fintech-startup-mera-cashier-startup-buddy,Startup Buddy’s founders;Startup Buddy’s Co-founders Amit Singal
Phenom People,$30.00,17/01/2020,India,Deeptech & AI,Series C,https://yourstory.com/2020/01/funding-alert-hr-tech-firm-phenom-people-westbridge,WestBridge Capital;New York-based AllianceBernstein Private Credit Investors’ Growth Stage Capital;AXA Venture Partners;Sierra Ventures;Omidyar Technology Ventures;Sigma Prime Ventures;Karlani Capital
ExtraaEdge,$0.43,16/01/2020,Pune,Edtech,Pre-Series A,https://yourstory.com/2020/01/pune-based-b2b-saas-startup-extraaedge-raises-700k,
ProEves,$0.43,16/01/2020,New Delhi,General,Pre-Series A,https://yourstory.com/2020/01/funding-startup-childcare-booking-platform-proeves-1crowd,Apurva Chamaria
Uber Eats India,$350.00,21/01/2020,Gurugram,Foodtech,Acquisition,https://inc42.com/buzz/zomato-acquires-uber-eats-food-delivery-business-in-india/,Zomato
Aye Finance,$20.00,16/01/2020,Gurugram,Fintech,,https://entrackr.com/2020/01/a91s-20-mn-secondary-investment-in-aye-finance/,A91 Partners
Power Gummies,,15/01/2020,New Delhi,Healthtech,Pre-Series A,https://inc42.com/buzz/personal-care-brand-power-gummies-has-raised-funding-from-dsg-consumer-partners/,DSG Consumer Partners
Toddle,,15/01/2020,Bengaluru,Edtech,Seed,https://inc42.com/buzz/edtech-startup-toddle-gets-seed-funding-from-matrix-partners-others/,Matrix Partners India;Better Capital;Rahul Jaimini
GetVantage,,21/01/2020,Mumbai,Fintech,Seed,https://inc42.com/buzz/revenue-based-financing-platform-getvantage-gets-upto-10-mn-seed-funding/,Samyakth Capital;Venture Catalysts;Astir Ventures;Karun Arya;Vivek Awasthi;Ashok Goel Family Office;Manish Patel;Mitesh Shah;Punit Shah;Ankit Agarwal
INDwealth,$12.00,16/01/2020,Gurugram,Fintech,Series C,https://inc42.com/buzz/ashish-kashyaps-indwealth-is-raising-12-mn-series-c-round/,Steadview Capital;Tiger Global;DF International Private Partners;Tona Investments LP
Zomato,,21/01/2020,Gurugram,Foodtech,Acquisition,https://yourstory.com/2020/01/zomato-acquires-uber-eats-india-food-division-deepinder-goyal,Uber
Flutin,,21/01/2020,India,Consumer,Undisclosed,https://yourstory.com/2020/01/funding-singer-sukhbir-singh-invests-music-app-flutin,Sukhbir Singh
Gamerji,$0.40,16/01/2020,Ahmedabad,Consumer,,https://yourstory.com/2020/01/funding-esports-gamerji-la-gajjar-group,La Gajjar Group
