Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Cue Learn,,16/12/2014,New Delhi,Education,Seed,http://yourstory.com/2014/12/cue-learn-curiositi-funding-unitus-seed-fund/,Unitus Seed Fund
GCI (GiftCardsIndia),,11/12/2014,Mumbai,E-commerce,Undisclosed,http://yourstory.com:80/2014/12/gci-funding-acquires-giftery/,Blume Ventures;Rajan Anandan
Housing.com,$90,16/12/2014,Mumbai,Real Estate,Unknown,http://yourstory.com/2014/12/housing-funding-softbank/,SoftBank;Falcon Edge Capital
Linkstreet,,12/12/2014,Bangalore,SaaS,Series A,http://yourstory.com:80/2014/12/linkstreet-funding/,Faering Capital
