Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
NirogStreet,$2.50,22/07/2021,India,Healthtech,Series A,https://inc42.com/buzz/nirogstreet-raises-2-5-mn-funding-from-pureland-venture-others/,
BlackBuck,$67.00,22/07/2021,Bengaluru,Logistics,Series E,https://inc42.com/buzz/logistics-startup-blackbuck-raises-67-mn-to-become-15th-unicorn-minted-this-year/,Tribe Capital;IFC Emerging Asia Fund;VEF;Wellington Management;Sands Capital;International Finance Corporation
Even,$5.00,23/07/2021,Bengaluru,General,Seed,https://inc42.com/buzz/healthcare-startup-even-raises-5-mn-led-by-khosla-ventures/,Khosla Ventures;Founders Fund (led by Peter Thiel);Lachy Groom;Cred CEO Kunal Shah;Zerodha Founder Nithin Kamath;DST Global partner Tom Stafford
Amazon-Backed MyGlamm,$71.00,27/07/2021,India,E-commerce,Series C,https://inc42.com/buzz/amazon-backed-myglamm-closes-series-c-funding-round-at-71-mn/,Bessemer;L’Occitane;Ascent;Amazon;Mankekar family;Trifecta;Strides Ventures;Bessemer Venture Partners
Flam,$3.50,28/07/2021,Bengaluru,General,Seed,https://inc42.com/buzz/bengaluru-based-flam-raises-3-5-mn-in-seed-round/,Silicon Valley Quad;Inventus Capital Partners SV;9Unicorns;Kwaish Ventures
Zingbus,$5.34,27/07/2021,India,EV & Mobility,Pre-Series A,https://entrackr.com/2021/07/zingbus-raises-rs-44-6-cr-in-pre-series-a-round/,Infoedge Ventures;Infoedge Ventures in participation;Y Combinator
Eloelo,$2.10,27/07/2021,New Delhi,Gaming,Pre-Series A,https://entrackr.com/2021/07/social-gaming-platform-eloelo-raises-2-1-mn-in-pre-series-a-round/,Waterbridge;Lumikai Fund;Waterbridge Ventures
MyGlamm,$47.00,27/07/2021,Mumbai,D2C,Series C,https://entrackr.com/2021/07/d2c-beauty-brand-myglamm-raises-additional-47-mn-in-series-c-funding/,Accel;Ascent Capital;Amazon;Wipro Consumer
ShareChat,$145.00,27/07/2021,Bengaluru,Deeptech & AI,Series F,https://entrackr.com/2021/07/sharechat-raises-145-mn-at-a-valuation-of-2-88-bn/,Temasek;Moore Strategic Ventures;Mirae-Naver Asia Growth Fund
Mamaearth,$50.00,26/07/2021,Bengaluru,D2C,,https://entrackr.com/2021/07/mamaearth-raises-50-mn-round-led-by-sofina/,Sofina;Belgian investment fund Sofina in participation
Bn. Swiggy,$1076.00,24/07/2021,India,Foodtech,Series A,https://entrackr.com/2021/07/funding-in-indian-startups-this-week-19-july-24-july/,SoftBank Vision Fund 2;Temasek;Falcon Edge Capital;FirstCry;LeapFrog;Khosla Ventures
Sugar Cosmetics,$27.00,22/07/2021,Bengaluru,General,Series C,https://entrackr.com/2021/07/exclusive-mamaearth-scoops-up-27-mn-in-new-round-from-sofina/,Elevation Capital recently;Elevation recently
Dozee,$5.27,22/07/2021,India,Healthtech,Series A,https://entrackr.com/2021/07/healthtech-startup-dozee-raises-rs-44-cr-in-series-a/,Prime Venture Partners
Whole Truth,$6.00,27/07/2021,India,General,Series A,https://yourstory.com/2021/07/food-brand-the-whole-truth-series-a-funding-sequoia-capital,Sequoia Capital;Sequoia Capital India;Sixth Sense Ventures;Matrix Partners India;Sauce
Bandhoo,$1.10,27/07/2021,Gurugram,General,Seed,https://yourstory.com/2021/07/funding-alert-bandhoo-construction-tech-startup-unitus-ventures,Unitus Ventures;Bharat Inclusion Seed Fund
Skymet,$1.44,28/07/2021,Noida,General,Debt,https://yourstory.com/2021/07/funding-alert-weather-startup-skymet-raises-rs-12-cr-debt-round,
Droom,$200.00,28/07/2021,India,General,Pre-IPO,https://yourstory.com/2021/07/droom-unicorn-funding-ipo-nasdaq,
Loopin,$2.10,27/07/2021,Bengaluru,SaaS,Pre-Series A,https://yourstory.com/2021/07/saas-startup-loopin-raises-seed-round-venture-highway,Venture Highway;First Cheque
Streak,$1.00,28/07/2021,Bengaluru,Fintech,Pre-Series A,https://yourstory.com/2021/07/funding-alert-neo-bank-children-streak-seed-round-inflection-point-ventures,Inflection Point Ventures
Blaize,$71.00,28/07/2021,Hyderabad,Deeptech & AI,Series D,https://yourstory.com/2021/07/ai-startup-blaize-raises-seriesd-franklin-templeton-temasek,Franklin Templeton;Temasek
