Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
BookAdSpace,,13/01/2013,Mumbai,AdTech,Seed,http://yourstory.com//2013/01/bookadspace-receives-angel-investment-from-aakrit-vaish-and-miten-sampat/,Aakrit Vaish;Miten Sampat
Drishti Eye Care,,08/01/2013,Karnataka,Healthcare,Undisclosed,https://yourstory.com/2013/01/drishti-eye-care-receives-first-round-of-funding-from-lok-capital,Lok Capital
Mswipe,$0.69,10/01/2013,Mumbai,Fintech,Series A,http://yourstory.com:80/2013/01/matrix-partners-india-invests-in-pos-solutions-startup-mswipe/,Matrix Partners India
ThatsPersonal.com,,14/01/2013,India,E-commerce,Seed,http://yourstory.com/2013/01/india-deal-digest-14012013-online-adult-store-thatspersonal-raises-angel-funding/,
Richcore Lifesciences,$5.17,10/01/2013,India,Life Sciences,Unknown,http://yourstory.com:80/2013/01/india-deal-digest-for-10012013-fidelity-invests-in-richore-life-science-pvt-ltd/,Fidelity Growth Partners India
