Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Fashor,$1.00,02/01/2020,Chennai,E-commerce,Pre-Series A,https://inc42.com/buzz/fashor-raises-pre-series-a-from-sprout-venture-partners-to-accelerate-growth/,Accel India;China-b;IP Ventures;Venture Catalysts
HighRadius,$125.00,07/01/2020,Hyderabad,Fintech,Series B,https://inc42.com/buzz/first-saas-unicorn-of-2020-highradius-raises-125-mn-series-b-valued-at-over-1-bn/,ICONIQ Capital;Susquehanna Growth Equity;Citi Ventures
GoMechanic,$29.00,04/01/2020,India,E-commerce,Pre-Series A,https://entrackr.com/2020/01/funding-indian-startups-week-dec-jan-2/,Chiratae Ventures;Sequoia Capital;Sprout Venture Partners
Super Surfaces,$1.15,07/01/2020,India,General,Series A,https://yourstory.com/2020/01/funding-startup-interior-design-super-surfaces-vishnu-reddy,NRI investor Vishnu Reddy
UnoLigo,$1.00,07/01/2020,Bengaluru,Deeptech & AI,Pre-Series A,https://yourstory.com/2020/01/equnev-capital-kapil-khandelwal-invested-unoligo,
Generico,$1.20,07/01/2020,Mumbai,General,Series A,https://yourstory.com/2020/01/startup-funding-generico-venture-capital-pharma,Lightbox
Rivigo,$2.99,06/01/2020,Gurugram,E-commerce,Series B,https://yourstory.com/2020/01/logistics-startup-rivigo-funding-national-freight-index,
Skilancer Solar,$59.88,06/01/2020,Noida,Deeptech & AI,,https://yourstory.com/2020/01/funding-alert-alfa-venture-catalysts-skilancer-solar,
Shiksha,$0.16,06/01/2020,Mumbai,Edtech,Series A,https://yourstory.com/2020/01/funding-edtech-startup-tech-shiksha-mumbai-angels-network,
WealthBucket,$3.00,02/01/2020,Delhi,Fintech,Pre-Series A,https://yourstory.com/2020/01/mutual-fund-investments-startup-funding-wealthbucket,
Hug Innovations,,01/01/2020,Hyderabad,Deeptech & AI,Acquisition,https://inc42.com/buzz/breaking-titan-acquires-iot-startup-hug-innovations/,Titan
FabHotels,$4.67,03/01/2020,Delhi,E-commerce,Series B,https://entrackr.com/2020/01/exclusive-fabhotels-set-to-raise-rs-40-cr/,Goldman Sachs;Accel Partners;RB Investments
XpressBees,$10.00,03/01/2020,Pune,Logistics,Series D,https://entrackr.com/2020/01/alibaba-infuses-10-mn-in-xpressbees-revenues-double-in-fy19/,Alibaba
FabHotels,$4.68,06/01/2020,Delhi,Travel Tech,Series B,https://inc42.com/buzz/fabhotels-to-raise-inr-39-cr-to-compete-with-oyo-treebo/,Accel India;Goldman Sachs;RB Investments
Rage Coffee,,07/01/2020,India,Foodtech,Seed,https://yourstory.com/2020/01/funding-rage-coffee-tv-actor-rannvijay-singh-refex-capital,Refex Capital;Keiretsu Forum Chennai;Rannvijay Singh Singha;Harminder Sahni;TD Mohan;Rajan Srikanth;Prakash Katama;Uday Sodhi;Ajay Sarupria;A Kumar;Sawan Gupta
Satin Creditcare Network,$15.00,03/01/2020,India,Fintech,Debt,https://yourstory.com/2020/01/satin-creditcare-micro-finance-funding-startup,Development Bank of Austria (OeEB)
