Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
PolicyBazaar,$42.71,15/07/2020,India,Fintech,Series F,https://inc42.com/buzz/policybazaar-raises-inr-356-6-cr-funding-from-softbank/,InfoEdge had
VeGrow,$2.50,21/07/2020,India,Agritech,Seed,https://inc42.com/buzz/agritech-startup-vegrow-bags-2-5-mn-seed-from-matrix-ankur-capital/,Matrix Partners;Ankur Capital to invest in technologies that will improve farming
Playshifu,$3.95,21/07/2020,Bengaluru,Edtech,Series A,https://inc42.com/buzz/exclusive-playshifu-is-raising-inr-25-cr-from-chiratae-trifecta-and-others/,
Bijnis,$7.65,21/07/2020,Delhi,General,Pre-Series A,https://entrackr.com/2020/07/exclusive-bijnis-raises-64-cr-in-series-a-round-led-by-sequoia-and-matrix/,Sequoia;Matrix
InCred,$59.88,20/07/2020,Mumbai,Fintech,Debt,https://entrackr.com/2020/07/incred-raises-rs-500-cr-debt-from-public-sector-banks-and-lenders/,Moore Capital from the USA;Investcorp Bahrain;Oaks Capital;Anshu Jain;Ex CEO of Deutsche Bank
Zeotap,$42.00,16/07/2020,Mumbai,SaaS,Series B,https://entrackr.com/2020/07/zeotap-raises-442-mn-series-c/,Neue Capital European Investment Bank;Copraion;New Science Ventures;Capnamic Ventures;Iris Capital;HERE;Innov8;IONIQ also backed the company in the latest round
Vedantu,$100.00,16/07/2020,Bengaluru,Edtech,Series C,https://entrackr.com/2020/07/vedantu-closes-100-mn-round-led-by-coatue-management/,Coatue Management;New York-based hedge fund Coatue Management at a valuation of $600 million;Tiger Global in August 2019;Unacademy
Sibros,$12.00,20/07/2020,Pune,General,Series A,https://yourstory.com/2020/07/funding-deep-connected-vehicle-startup-sibros-raises-12m-nexus-venture,Nexus Venture Partners;Faraday;Uber engineers;Sibros empowers OEMs to remedy non-trivial software;Moneta Ventures;Twin Ventures
StyleDotMe,$0.42,20/07/2020,Gurugram,General,Pre-Series A,https://yourstory.com/2020/07/funding-fashion-tech-startup-styledotme-survam-partners,Survam Partners;Bobby Kothari
MPowered,$21.00,20/07/2020,Gurugram,General,Pre-Series A,https://yourstory.com/2020/07/funding-asset-management-solutions-startup-mpowered,
PumPumPum,$0.26,15/07/2020,Gurugram,General,Seed,https://yourstory.com/2020/07/funding-used-car-leasing-startup-pumpumpum-letsventure,Pallav Pandey;PumPumPum is one of the strongest;Director;LetsVenture
Neobank Walrus,$13.20,15/07/2020,Bengaluru,General,Pre-Seed,https://yourstory.com/2020/07/funding-alert-neobank-for-teens-walrus-better-capital,Better Capital;Sequoia India;Ribbit Capital
Mastree,$5.00,15/07/2020,Bengaluru,Edtech,Acquisition,https://inc42.com/buzz/unacademy-looks-to-strengthen-k12-offering-with-mastree-acquisition/,Unacademy
Editorji,,15/07/2020,Mumbai,Media & Entertainment,Acquisition,https://inc42.com/buzz/kolkata-based-rpsg-acquires-vikram-chandras-editorji/,RPSG Group
Uable,,17/07/2020,Bengaluru,Edtech,Seed,https://inc42.com/buzz/vedantu-cofounders-latest-edtech-uable-bags-seed-funding-from-3one4-capital/,3one4 Capital;Global Founders Capital;Inflection Point Ventures;AngelList
Finin,,20/07/2020,Bengaluru,Fintech,Pre-Series A,https://inc42.com/buzz/exclusive-neobanking-startup-finin-bags-funding-from-unicorn-india-others/,Unicorn India Ventures;PointOne Capital;Astir Ventures
Leap.Club,,20/07/2020,Bengaluru,SaaS,Pre-Seed,https://inc42.com/buzz/leap-club-raises-undisclosed-amount-from-titan-capital/,Titan Capital;Ankita Vashishtha
Mobile Premier League,$7.78,20/07/2020,Bengaluru,Deeptech & AI,,https://entrackr.com/2020/07/mpl-receives-rs-164-cr-from-parent-entity-2020/,M League Pte Ltd
Crio,$0.84,16/07/2020,Bengaluru,Edtech,Pre-Series A,https://entrackr.com/2020/07/binny-bansal-backed-021-capital-leads-pre-series-a-in-crio/,021 Capital;Ravi G;Mekin Maheshwari
6Degree,,17/07/2020,Mumbai,E-commerce,Pre-Series A,https://yourstory.com/2020/07/funding-sucseed-ventures-fashion-commerce-retail-startup-6degree,SucSEED Ventures
Vedantu,$100.00,17/07/2020,Bengaluru,Edtech,Series D,https://yourstory.com/2020/07/weekly-funding-roundup-investments-rise-by-37-pc,Coatue;Tiger Global;Accel;GGV Capital
Uable,,16/07/2020,Bengaluru,Edtech,Seed,https://yourstory.com/2020/07/funding-alert-edtech-startup-uable-seed-round-3one4-capital,3one4 Capital;Global Founders Capital;Inflection Point Ventures;AngelList
Paper Boat Apps,$5.15,16/07/2020,Bengaluru,Edtech,Acquisition,https://yourstory.com/2020/07/gaming-startup-nazara-technologies-acquires-paper-boat-apps,Nazara Technologies
Editorji Technologies,,15/07/2020,Mumbai,SaaS,Acquisition,https://yourstory.com/2020/07/rp-sanjiv-goenka-group-acquires-51-pc-stake-editorji,RP-Sanjiv Goenka Group
