Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Bn,$1500.00,02/10/2021,Bengaluru,Edtech,Acquisition,https://inc42.com/infocus/funding-galore/over-1-3-bn-raised-by-indian-startups-this-week/,Fidelity Management;B Capital Group
Sunstone Eduversity,$28.00,06/10/2021,Delhi,Edtech,Series B,https://inc42.com/buzz/edtech-startup-sunstone-eduversity-raises-28-mn-from-westbridge-capital-others/,WestBridge Capital;Saama Capital;Alteria Capital
Nazara,$37.72,06/10/2021,Mumbai,Gaming,,https://inc42.com/buzz/nazara-raises-inr-315-cr-for-growth-initiatives-acquisitions/,
LetsVenture,$3.00,07/10/2021,India,SaaS,Seed,https://inc42.com/buzz/letsventures-raises-3mn-seed-funding-for-new-equity-management-platform/,
Twin Health,$140.00,07/10/2021,Chennai,Healthtech,Series C,https://inc42.com/buzz/healthtech-startup-twin-health-raises-140-mn-series-c/,
AgroStar,$7.00,05/10/2021,India,Agritech,Series C,https://inc42.com/buzz/exclusive-agritech-startup-agrostar-to-raise-7-mn-from-accel-others/,Bertelsmann India;Aavishkaar Bharat Fund;Accel India;Bertelsmann
Chalo,$40.00,05/10/2021,Mumbai,EV & Mobility,Series C,https://inc42.com/buzz/chalo-bags-40-mn-series-c-in-funding-from-lightrock-india-others/,Lightrock India;Filter Capital;Raine Venture Partners;Neeraj Arora;Amit Singhal;Neeraj Arora (former WhatsApp chief business officer)
Qapita,$15.00,06/10/2021,India,SaaS,Series A,https://entrackr.com/2021/10/qapita-raises-15-mn-in-series-a-round/,East Ventures;Vulcan Capital;East Ventures (Growth Fund);NYCA;Endiya Partners;MassMutual Ventures
Jai Kisan,$2.99,05/10/2021,India,Fintech,Series A,https://entrackr.com/2021/10/jai-kisan-raises-rs-25-cr-debt-from-trifecta/,Mirae Asset;Mirae Asset in May this year
Mobileware Technologies,$4.75,04/10/2021,India,EV & Mobility,,https://entrackr.com/2021/10/api-banking-startup-mobileware-technologies-raises-4-75-mn-in-fresh-round/,Kvanto Payment Services;Denmark-based Kvanto Payment Services
