Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
AutoIndia.com,,16/01/2008,India,Automotive,Seed,http://www.vccircle.com:80/2008/01/16/autoindiacom-gets-angel-investment-from-a-us-engineer/,Babu Sivadasan
Brand Marketing India,$10,18/01/2008,India,Retail,Unknown,http://www.vccircle.com:80/2008/01/18/matrix-india-invests-10-million-in-murjanis-owned-luxury-marketer-bmi/,Matrix Partners India
Druvaa Software,$0.25,18/01/2008,Pune,Software,Seed,http://www.vccircle.com:80/2008/01/18/indian-angel-network-mumbai-invests-250k-in-pune-data-backup-startup/,Indian Angel Network
123Greetings.com,,18/01/2008,India,Internet,Series A,http://www.vccircle.com:80/2008/01/18/intel-capital-invests-in-123greetingscom/#more-3193,Intel Capital
