Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Blueshift,$2.6,01/11/2014,India,E-commerce,Seed,http://yourstory.com:80/2014/11/blueshift-funding-nexus/,New Enterprise Associates;Neil Tolaney(Personalization Mall
MadRat Games,$1,01/11/2014,Bengaluru,Gaming,Unknown,http://yourstory.com:80/2014/11/madrat-games-funding-from-flipkart/,
POPxo.com,$0.49,01/11/2014,Chennai,General,Unknown,http://yourstory.com/2014/11/popxo-com-raises-3-crores/,
Jumia,$150,01/11/2014,India,E-commerce,Unknown,http://yourstory.com:80/2014/11/rocket-internet-backed-jumia-secures-funding/,
Scrollback,$0.49,01/11/2014,Bengaluru,General,Seed,http://yourstory.com/2014/11/scrollback-raises-3-crore/,Singapore-based Jungle Ventures
Zomato,$60,01/11/2014,India,General,Acquisition,http://yourstory.com/2014/11/zomato-raises-60-million/,Sequoia Capital
Ant Farm,$2,01/11/2014,Mumbai,Food Delivery,Acquisition,http://yourstory.com:80/2014/11/ant-farm-acquired-meals-on-wheels/,
Arkin Net,$7,01/11/2014,India,SDN,Unknown,http://yourstory.com:80/2014/11/arkin-net-funding/,Nexus Venture Partners;B.V. Jagadeesh;Alan Cohen;Haystack Fund
Blowhorn,,01/11/2014,Bangalore,Logistics,Seed,http://yourstory.com/2014/11/blowhorn-logistics-marketplace-funding/,Unitus Seed Fund;Draper Associates
LoudCell,$0.82,01/11/2014,India,IoT,Unknown,http://yourstory.com:80/2014/11/loudcell-1-million/,Indian Angel Network;Pradeep Gupta;Vishal Lalani
