Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
CoinDCX,$2.50,26/05/2020,Mumbai,Fintech,Series A,https://inc42.com/buzz/coindcx-raises-2-5-mn-from-polychain-capital-coinbase-ventures-to-bring-crypto-to-the-masses/,Polychain Capital
Awfis,$4.79,26/05/2020,Delhi,General,Series D,https://inc42.com/buzz/exclusive-awfis-raises-inr-40-cr-from-bisque-limited-link-investment-trust/,ChrysCapital;Sequoia Capital India;The Three Sisters Institutional Office
Euler Motors,$2.40,26/05/2020,New Delhi,E-commerce,Pre-Series A,https://inc42.com/buzz/euler-motors-bags-inr-20-cr-from-inventus-to-launch-its-ev-model-this-year/,Inventus Capital India;Blume Ventures;Jetty Ventures;Udaan’s Sujeet Kumar
Lendingkart,$60.00,23/05/2020,Ahmedabad,Fintech,Series B,https://inc42.com/buzz/funding-galore-indian-startup-funding-of-the-week-18-23-may/,B Capital
Khatabook,$60.00,20/05/2020,Bengaluru,Fintech,Series A,https://inc42.com/buzz/khatabook-bags-60-mn-funding-from-b-capital-to-enhance-its-fintech-offerings/,B Capital;Sequoia Capital;Jitendra Gupta;Kunal Bahl;Kunal Shah;Partners of DST Global;Tencent;GGV Capital;RTP Global
Khatabook,$108.00,23/05/2020,Delhi,Edtech,Series A,https://entrackr.com/2020/05/funding-in-indian-startups-this-week-18-may-23-may/,B Capital;Fullerton Financial Holdings;Bertelsmann India Investments;Sistema Asia Fund;IndiaQuotient;Inventus III India Fund
Toch,$1.00,26/05/2020,Mumbai,Deeptech & AI,Pre-Series A,https://yourstory.com/2020/05/toch-pre-series-a-sosv-9-unicorns-fund,SOSV;Chinaccelerator;9 Unicorns Fund;Inflection Point Ventures
Blowhorn,$8.80,26/05/2020,Bengaluru,Logistics,Venture Debt,https://yourstory.com/2020/05/startup-funding-blowhorn-venture-debt-trifecta-capital,
GramCover,$10.00,26/05/2020,Noida,Fintech,Pre-Series A,https://yourstory.com/2020/05/funding-rural-insurtech-platform-gramcover-emvc-omidyar-omnivore,Omnivore
Mobisy,$1.37,21/05/2020,Bengaluru,SaaS,Series B,https://inc42.com/buzz/saas-startup-mobisy-raising-inr-11-4-cr-from-indiamart-triton/,IndiaMART;Triton Alternative Investment Trust
Voicezen,,21/05/2020,Gurugram,Deeptech & AI,Seed,https://inc42.com/buzz/airtel-invests-in-voicezen-under-airtel-startup-accelerator-programme/,Airtel
Lateral Praxis,,25/05/2020,Mumbai,Agritech,Acquisition,https://inc42.com/buzz/pioneering-ventures-acquires-lateral-praxis-to-enable-agritech-solutions/,Pioneering Ventures
CarTrade,$38.53,22/05/2020,Mumbai,E-commerce,Series H,https://inc42.com/buzz/exclusive-cartrade-is-raising-inr-321-7-cr-in-series-h-round/,Highdell Investment;MacRitchie Investments;MCP3 SPV
Ola Financial Services,$24.62,26/05/2020,Bengaluru,Fintech,Series A,https://entrackr.com/2020/05/ola-financial-services-bags-maiden-round-238-mn-valuation-ceo-resigns/,Matrix Partners;Falcon Edge;Gemini Investments;Arun Sarin Family Office
Euler Motors,$2.40,22/05/2020,Delhi,EV & Mobility,Series A,https://entrackr.com/2020/05/exclusive-commercial-ev-startup-euler-scoops-up-series-a-round/,Inventus Capital;Blume Ventures;Jetty Ventures;Sujeet Kumar
HomeCapital,,25/05/2020,Mumbai,Fintech,Undisclosed,https://yourstory.com/2020/05/funding-alert-varanium-nexgen-fund-fintech-homecapital,Varanium NexGen Fund;Venture Catalysts;JITO Incubation and Innovation Foundation;Singapore Angel Network;Venture Gurukool;Shalin Shah
Hoi Foods,$2.00,25/05/2020,Gurugram,Foodtech,Pre-Series A,https://yourstory.com/2020/05/funding-alert-cloud-kitchen-hoi-foods-raises-2-mn-,1Crowd;Sprout;AngelList;Samar Singla;Jaideep Mehta;Mukund Kulashekaran
Ray,$0.24,22/05/2020,India,Deeptech & AI,,https://yourstory.com/2020/05/funding-startup-cybersecurity-quick-heal-invests-wireless-tech-ray,Quick Heal Technologies
Jio Platforms,$1500.00,22/05/2020,Mumbai,Deeptech & AI,,https://yourstory.com/2020/05/reliance-jio-platforms-raises-private-equity-giant-kkr-investment,KKR
No Worry No Tension Healthcare (NWNT),,21/05/2020,Delhi,Healthtech,Pre-Series A,https://yourstory.com/2020/05/funding-alert-dabur-mental-health-startup,Amit Burman
leap.club,$0.34,21/05/2020,Gurugram,SaaS,Pre-Seed,https://yourstory.com/2020/05/funding-professional-women-network-leapclub-whiteboard-capital,Whiteboard Capital;FirstCheque;Artha India Ventures;Sweta Rau;Amrish Rau;Deepak Abbot;Harpreet Singh Grover
Xtracap Fintech,$1.00,20/05/2020,Gurugram,Fintech,,https://yourstory.com/2020/05/funding-alert-xtracap-fintech-raises-1-million,
Tring,,20/05/2020,Mumbai,E-commerce,Undisclosed,https://yourstory.com/2020/05/funding-tring-flipkart-kalyan-krishnamurthy-udaan-sujeet-kumar,Kalyan Krishnamurthy;Sujeet Kumar;Gaurav Munjal;Keshav Sanghi;Roman Saini;Hemesh Singh;Sumit Jain
