Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
1Click (Turtle Yogi Technologies),$0.35,27/01/2014,Bangalore,Video Infrastructure,Seed,http://yourstory.com:80/2014/01/1click-funding/,Blume Ventures;Shead Holdings;R Narayanan;Rahul Garg
OurHealthMate,$0.44,27/01/2014,Singapore,Healthcare,Seed,http://yourstory.com:80/2014/01/ourhealthmate-raises-440k/,Bimal Shah;Benjamin Tsai;Ben Ball
Uniken,,23/01/2014,Pune,Cybersecurity,Undisclosed,http://yourstory.com/2014/01/uniken-funding/,Nexus Venture Partners
