Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
KorinMi,$1.20,01/06/2026,Gurugram,Beauty,,https://entrackr.com/snippets/skin-clinic-korinmi-raises-10-cr-from-lotus-herbals-innovation-fund-11896464,"Lotus Herbals Innovation Fund"
MediElaj,$0.10,01/06/2026,India,Healthtech,Pre-Seed,https://entrackr.com/snippets/healthcare-startup-medelaj-raises-angel-round-11896174,"Friends & Family"
Rovia,$1.00,01/06/2026,Bengaluru,Fintech,Pre-Seed,https://entrackr.com/snippets/antler-india-leads-1-mn-pre-seed-round-in-wealthtech-platform-rovia-11895889,"Antler India; CDM Capital; AC Ventures; Operators Studio"
Simple Energy,$29.94,01/06/2026,Bengaluru,Electric Mobility,Debt,https://entrackr.com/news/simple-energy-raises-rs-250-cr-in-debt-and-equity-round-ahead-of-ipo-plans-11894747,"Arokiaswamy Velumani Family Office; HDFC Bank; Capitar Ventures"
Anveshan,$12.70,01/06/2026,India,FMCG,Series B,https://entrackr.com/news/anveshan-raises-rs-150-cr-in-series-b-round-led-by-vertex-ventures-11894736,"Vertex Ventures; International Finance Corporation; Titan Capital; Wipro Consumer Care Ventures; Aman Gupta"
ProLearn,$3.20,02/06/2026,Bengaluru,Edtech,Pre-Seed,https://entrackr.com/snippets/beenext-leads-rs-30-cr-pre-seed-round-in-edtech-startup-prolearn-11901039,"BEENEXT; Eximius Ventures; Antler"
Zouk,$6.30,02/06/2026,Mumbai,Fashion,Pre-Series C,https://entrackr.com/exclusive/exclusive-d2c-fashion-brand-zouk-to-raise-fresh-funds-in-pre-series-c-round-11900550,"Stellaris Venture Partners; Aavishkaar Capital; Sharrp Ventures; Mihir Gadani"
Aquapulse,$5.39,02/06/2026,Bhubaneswar,Agritech,,https://entrackr.com/snippets/aquapulse-raises-rs-45-cr-from-nabventures-and-ian-alpha-fund-11898912,"NABVENTURES; IAN Alpha Fund"
