Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Industries,$2.00,19/11/2021,Bengaluru,E-commerce,Seed,https://inc42.com/buzz/3ev-industries-completes-2-mn-seed-funding-for-rd-purposes/,
Mn,$400.00,20/11/2021,India,E-commerce,Series B,https://inc42.com/infocus/funding-galore/funding-galore-over-400-mn-raised-by-indian-startups-this-week/,
GetSetUp,$10.00,22/11/2021,India,Edtech,Seed,https://inc42.com/buzz/getsetup-raises-10-mn-to-expand-older-adult-social-learning-platform/,Rethink Education;Yahoo cofounder Jerry Yang’s AME Cloud Ventures
Salesken,$22.00,22/11/2021,India,Deeptech & AI,Series B,https://inc42.com/buzz/salesken-raises-22-mn-in-series-b-funding-from-microsofts-m12/,M12—Microsoft’s Venture Fund;Sequoia India also participated in the round
True Credits,$30.00,23/11/2021,India,Fintech,Debt,https://inc42.com/buzz/true-credits-raises-30-mn-in-debt-funding-to-offer-payday-loans/,
Lender Indifi,$40.72,24/11/2021,Gurugram,General,Series D,https://inc42.com/buzz/b2b-online-lender-indifi-raises-inr-340-cr-in-equity-debt-funding/,CX Partners;OP Finnfund;CDC Group;Omidyar Network;Flourish Ventures;Elevar Equity;Accel
CoreStack,$30.00,24/11/2021,India,SaaS,Series A,https://inc42.com/buzz/corestack-raises-30-mn-in-series-b-funding-in-booming-cloud-market/,Avatar Growth Capital;Dallas Venture Capital;Iron Pillar
Ugaoo,$1.80,24/11/2021,Pune,E-commerce,Pre-Series A,https://inc42.com/buzz/ugaoo-raises-pre-series-a-funding-to-sell-garden-supplies/,DSG Consumer Partners;RPG Ventures
Dream Sports,$840.00,24/11/2021,India,Gaming,,https://inc42.com/buzz/dream-sports-raises-840-mn-at-a-valuation-of-8-bn/,Falcon Edge;DST Global;D1 Capital;Redbird Capital;Tiger Global at a $8 Bn valuation;Footpath Ventures
Pidge,$1.00,25/11/2021,Gurugram,Logistics,,https://entrackr.com/2021/11/logistics-platform-pidge-raises-1-mn/,
Dream11,$840.00,24/11/2021,India,Gaming,Acquisition,https://entrackr.com/2021/11/dream11-bags-840-mn-in-a-new-round-at-8-bn-valuation/,Falcon Edge;DST Global;D1 Capital;Tiger Global;Redbird Capital
Indifi,$40.72,24/11/2021,Gurugram,E-commerce,Series C,https://entrackr.com/2021/11/lending-marketplace-indifi-raises-rs-340-cr-equity-and-debt-round/,CX Partners;OP Finnfund Global Impact Fund I
Haber,$20.00,23/11/2021,Pune,Deeptech & AI,Series B,https://entrackr.com/2021/11/haber-raises-20-mn-in-series-b-round/,Ascent Capital
IPO-bound Pepperfry,$10.00,22/11/2021,Mumbai,General,Series A,https://entrackr.com/2021/11/ipo-bound-pepperfry-picks-up-10-mn-in-debt/,
Sleepy Owl,$6.50,22/11/2021,New Delhi,D2C,Series A,https://entrackr.com/2021/11/sleepy-owl-raises-6-5-mn-in-series-a-funding/,Rukam Capital;DSG Consumer Partners
Euler Motors,$10.00,22/11/2021,New Delhi,EV & Mobility,Series B,https://entrackr.com/2021/11/euler-motors-picks-up-10-mn-in-series-b-round/,ADB Ventures;Inventus Capital;Blume Ventures
Toppersnotes,$1.00,22/11/2021,India,Edtech,Seed,https://entrackr.com/2021/11/toppersnotes-raises-1-mn-in-seed-round/,Inflection Point Ventures
Mensa Brands,$350.00,20/11/2021,India,Edtech,Series B,https://entrackr.com/2021/11/funding-and-acquisitions-in-indian-startups-this-week-15-nov-20-nov/,Falcon Edge Capital’s Alpha Wave Ventures;Kedaara Capital;Malpani Group;HNIs
Contentstack,$57.50,23/11/2021,Mumbai,General,Series B,https://yourstory.com/2021/11/india-built-world-uncovering-series-b-funded-company-contentstacks-journey,
Read Spinny,$248.00,25/11/2021,Gurugram,General,Series E,https://yourstory.com/2021/11/startup-news-and-updates-daily-roundup-november-25,Abu Dhabi Growth Fund
Rentomojo,$17.37,25/11/2021,India,General,Series B,https://yourstory.com/2021/11/funding-alert-rentomojo-raises-rs-145-crore-aims-t,Accel;Bain Capital;Geetansh Bamania
Simple Energy,$21.00,24/11/2021,Bengaluru,EV & Mobility,,https://yourstory.com/2021/11/ev-startup-simple-energy-raises-pre-series-round,Athiyas Group
True Balance,$30.00,23/11/2021,Gurugram,Fintech,Debt,https://yourstory.com/2021/11/funding-true-balance-debt-round-nbfc-india-korea-investors,
Toppersnotes,$1.00,23/11/2021,India,General,Seed,https://yourstory.com/2021/11/edtech-startup-toppersnotes-raises-seed-round,Inflection Point Ventures;QRG Investments
Altum Credo,$10.54,22/11/2021,India,General,,https://yourstory.com/2021/11/funding-alert-housing-finance-altum-credo-amicus-capital-aavishkaar,Amicus Capital;Aavishkaar Capital
Chakr Innovation,$2.28,22/11/2021,Delhi,Cleantech,Series A,https://yourstory.com/2021/11/funding-alert-cleantech-startup-chakr-innovation-series-b-round,IAN Fund;ONGC
Fasal,$4.00,22/11/2021,India,Agritech,Pre-Series A,https://yourstory.com/2021/11/funding-alert-agritech-startup-fasal-3one4-capital,3one4 Capital;Omnivore;Wavemaker Partners
SAVE Solutions,$7.19,22/11/2021,India,General,,https://yourstory.com/2021/11/funding-alert-save-solutions-incofin-maj-invest,
Zvolv,$1.50,22/11/2021,India,SaaS,,https://yourstory.com/2021/11/saas-platform-zvolv-funding-jsw-ventures,JSW Ventures;Riso Capital
Read OneCare,$1.00,22/11/2021,Bengaluru,D2C,Series A,https://yourstory.com/2021/11/startup-news-and-updates-daily-roundup-november-22-2021,Multiply Ventures;Better Capital
OneCare,$1.00,22/11/2021,Bengaluru,General,Pre-Seed,https://yourstory.com/2021/11/funding-alert-chronic-care-startup-onecare-pre-seed-multiply-ventures-better-capital,Multiply Ventures;Better Capital
Purplle,$50.00,20/11/2021,Mumbai,E-commerce,Series D,https://yourstory.com/2021/11/funding-purplle-beauty-products-marketplace-premji-invest,662 crore ($630 million)
