Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Seed,$15.00,15/04/2021,India,General,,https://inc42.com/buzz/utsav-somanis-micro-vc-iseed-closes-fund-ii-at-15-mn-to-bet-on-50-startups/,
Polestar,$550.00,15/04/2021,Bengaluru,EV & Mobility,,https://inc42.com/buzz/electric-vehicles-this-week-mahindras-inr-3k-cr-emobility-plan-ev-sales-in-india-more/,
BoAt,$5.99,15/04/2021,India,E-commerce,Debt,https://inc42.com/buzz/exclusive-boat-raises-inr-50-cr-from-qualcomm-ventures/,
Mn,$902.00,17/04/2021,India,Foodtech,Acquisition,https://inc42.com/infocus/funding-galore/funding-galore-from-swiggy-to-byjus-902-bn-raised-by-indian-startups-april-12-17/,
Razorpay,$160.00,19/04/2021,India,Fintech,Series D,https://inc42.com/buzz/razorpay-raises-160-mn-funding-at-3-bn-valuation/,Singapore’s sovereign wealth fund GIC;Sequoia Capital India
Pristyn Care,$550.00,20/04/2021,Gurugram,Healthtech,Series D,https://inc42.com/buzz/pristyn-care-raises-series-d-at-550-mn-valuation-to-expand-surgical-services/,Tiger Global;New York-based venture capital firm Tiger Global;Sequoia Capital India;Hummingbird Ventures;Epiq Capital
Peel-Works,$1.44,21/04/2021,Mumbai,E-commerce,,https://inc42.com/buzz/peel-works-raises-inr-12-cr-to-expand-b2b-kirana-tech-platform-taikee/,
Druva,$147.00,19/04/2021,Pune,General,,https://entrackr.com/2021/04/druva-raises-147-mn-at-a-valuation-of-over-2-bn/,Canada's CDPQ;Neuberger Berman
Byju's,$1080.00,17/04/2021,Mumbai,Edtech,,https://entrackr.com/2021/04/funding-in-indian-startups-this-week-12-apr-17-apr/,Baron Funds;Facebook co-founder Eduardo Saverin’s B Capital Group;US-based investment hedge fund XN Exponent Holding
Spintly,$0.55,16/04/2021,Hyderabad,SaaS,Seed,https://yourstory.com/2021/04/security-startup-spintly-raises-seed-round-riso-capital,Silicon Valley-based
Fuel Buddy,$1.50,16/04/2021,Delhi,General,Pre-Series A,https://yourstory.com/2021/04/fuel-delivery-platform-fuel-buddy-raises-investors,
TruNativ,$5.99,16/04/2021,Mumbai,General,Seed,https://yourstory.com/2021/04/seed-funding-mumbai-nutrition-startup-trunativ-9unicorns,9Unicorns
Foods,$1.00,16/04/2021,Bengaluru,General,Pre-Series A,https://yourstory.com/2021/04/funding-fmgc-startup-lo-foods-1m-pre-seriesa-round,Chona Family Office;Ecosystem Ventures;Raveen Sastry (Co-founder;Multiply Ventures);KRS Jamwal;Pratyush Prasanna (
Northern Arc,$4.79,19/04/2021,India,General,Debt,https://yourstory.com/2021/04/northern-arc-raises-40-cr-debt-kotak-mahindra-bank-small-businesses,
ZFW Hospitality,$0.78,19/04/2021,Mumbai,Deeptech & AI,Pre-Seed,https://yourstory.com/2021/04/funding-alert-cloud-kitchen-platform-zfw-hospitality,Mumbai Angels Network
Qapita,$5.00,20/04/2021,India,SaaS,Pre-Series A,https://yourstory.com/2021/04/funding-alert-qapita-raises-5-million-pre-seriesa,MassMutual Ventures;Endiya Partners;Vulcan Capital;East Ventures
Evo Foods,$0.74,20/04/2021,Mumbai,Foodtech,Pre-Seed,https://yourstory.com/2021/04/plant-based-egg-startup-evo-foods-raises-pre-seed-round,
